date,store_id,category,orders,gmv,stockout_minutes,avg_delivery_time,refund_rate,city,city_tier,business_district_type,store_size,opened_days,day_of_week,month,week_of_month,is_weekend,is_month_start,is_month_end,is_payday_window,is_holiday,campaign_id,promo_type,promo_depth,coupon_flag,rain_level,temperature_bin,traffic_index,event_flag,promo_flag,discount_rate,day_of_month,week_of_year,lag_1,lag_7,lag_14,rolling_mean_7,rolling_std_7,rolling_mean_28,promo_last_7d_count,stockout_last_7d_mean,days_since_last_promo
2024-01-17,S001,beverages,50,876.03,35.58,33.03,0.0656,Wuhan,2,office,L,315,2,1,3,0,0,0,0,0,,,0.0,0.0,0.5758,mild,1.084,0,0,0.0,17,3,50.0,65.0,48.0,55.714285714285715,7.016986193380682,,0.0,31.172857142857143,10.0
2024-01-18,S001,beverages,44,867.88,31.76,45.73,0.0859,Wuhan,2,office,L,315,3,1,3,0,0,0,0,0,,,0.0,0.0,0.6468,mild,1.027,0,0,0.0,18,3,50.0,51.0,84.0,53.57142857142857,5.9120538692049145,,0.0,33.348571428571425,11.0
2024-01-19,S001,beverages,49,959.92,36.09,34.62,0.0659,Wuhan,2,office,L,315,4,1,3,0,0,0,0,0,,,0.0,0.0,0.6374,mild,1.0484,0,0,0.0,19,3,44.0,52.0,46.0,52.57142857142857,6.924765768773755,,0.0,32.808571428571426,12.0
2024-01-20,S001,beverages,59,1180.67,29.01,32.89,0.0736,Wuhan,2,office,L,315,5,1,3,1,0,0,0,0,,,0.0,0.0,0.6453,mild,0.9253,0,0,0.0,20,3,49.0,63.0,90.0,52.142857142857146,7.057586259446187,,0.0,34.07,13.0
2024-01-21,S001,beverages,55,959.04,23.36,37.15,0.0813,Wuhan,2,office,L,315,6,1,3,1,0,0,0,0,,,0.0,0.0,0.4318,mild,1.0438,0,0,0.0,21,3,59.0,61.0,55.0,51.57142857142857,6.1334368521284555,,0.0,35.567142857142855,14.0
2024-01-22,S001,beverages,67,1098.39,44.77,39.08,0.0864,Wuhan,2,office,L,315,0,1,4,0,0,0,0,0,C2443,free_delivery,0.162,1.0,0.6536,mild,1.1169,0,1,0.162,22,4,55.0,48.0,70.0,50.714285714285715,4.889249625940742,,0.0,35.43714285714285,15.0
2024-01-23,S001,beverages,58,1008.65,0.53,34.58,0.0686,Wuhan,2,office,L,315,1,1,4,0,0,0,0,0,,,0.0,0.0,0.1356,mild,1.054,0,0,0.0,23,4,67.0,50.0,61.0,53.42857142857143,7.6345081233642125,,1.0,35.004285714285714,0.0
2024-01-24,S001,beverages,51,949.56,37.83,38.59,0.0863,Wuhan,2,office,L,315,2,1,4,0,0,0,0,0,,,0.0,0.0,0.5449,mild,1.0782,0,0,0.0,24,4,58.0,50.0,65.0,54.57142857142857,7.634508123364214,,1.0,28.728571428571428,1.0
2024-01-25,S001,beverages,50,857.11,24.25,38.62,0.0753,Wuhan,2,office,L,315,3,1,4,0,0,0,0,0,,,0.0,0.0,0.3741,mild,1.086,1,0,0.0,25,4,51.0,44.0,51.0,54.714285714285715,7.543524501502053,,1.0,29.050000000000004,2.0
2024-01-26,S001,beverages,49,967.46,22.27,32.98,0.0872,Wuhan,2,office,L,315,4,1,4,0,0,0,0,0,,,0.0,0.0,0.6331,mild,1.0492,0,0,0.0,26,4,50.0,49.0,52.0,55.57142857142857,6.373307431706675,,1.0,27.977142857142855,3.0
2024-01-27,S001,beverages,65,1177.49,19.16,33.82,0.0592,Wuhan,2,office,L,315,5,1,4,1,0,0,0,0,,,0.0,0.0,0.5433,mild,1.021,0,0,0.0,27,4,49.0,59.0,63.0,55.57142857142857,6.373307431706675,,1.0,26.002857142857145,4.0
2024-01-28,S001,beverages,58,1009.25,29.16,36.85,0.0787,Wuhan,2,office,L,315,6,1,4,1,0,0,1,0,,,0.0,0.0,0.6871,mild,0.9476,1,0,0.0,28,4,65.0,55.0,61.0,56.42857142857143,7.253898787483015,,1.0,24.595714285714283,5.0
2024-01-29,S001,beverages,54,1017.17,33.68,33.04,0.0735,Wuhan,2,office,L,315,0,1,5,0,0,0,1,0,,,0.0,0.0,0.6587,mild,1.058,0,0,0.0,29,5,58.0,67.0,48.0,56.857142857142854,7.244045173533254,58.107142857142854,1.0,25.424285714285713,6.0
2024-01-30,S001,beverages,61,1082.09,18.32,34.02,0.0742,Wuhan,2,office,L,315,1,1,5,0,0,0,1,0,,,0.0,0.0,0.0,mild,1.1209,0,0,0.0,30,5,54.0,58.0,50.0,55.0,5.715476066494071,57.642857142857146,0.0,23.84,7.0
2024-01-31,S001,beverages,45,876.87,29.44,41.03,0.0995,Wuhan,2,office,L,315,2,1,5,0,0,1,1,0,,,0.0,0.0,0.8674,mild,1.0693,0,0,0.0,31,5,61.0,51.0,50.0,55.42857142857143,6.078847008469687,57.642857142857146,0.0,26.381428571428568,8.0
2024-02-01,S001,beverages,52,995.47,27.13,28.66,0.0601,Wuhan,2,office,L,315,3,2,1,0,1,0,1,0,,,0.0,0.0,0.4436,mild,1.0705,0,0,0.0,1,5,45.0,50.0,44.0,54.57142857142857,7.138093649734557,57.535714285714285,0.0,25.182857142857138,9.0
2024-02-02,S001,beverages,62,1153.06,24.86,35.52,0.0953,Wuhan,2,office,L,315,4,2,1,0,0,0,1,0,,,0.0,0.0,0.8072,mild,1.1596,0,0,0.0,2,5,52.0,49.0,49.0,54.857142857142854,6.96248450455657,56.392857142857146,0.0,25.59428571428571,10.0
2024-02-03,S001,beverages,67,1184.16,17.18,32.54,0.0591,Wuhan,2,office,L,315,5,2,1,1,0,0,1,0,,,0.0,0.0,0.4999,mild,0.8982,0,0,0.0,3,5,62.0,65.0,59.0,56.714285714285715,6.872997543873795,56.964285714285715,0.0,25.964285714285715,11.0
2024-02-04,S001,beverages,62,1168.69,46.47,34.39,0.0814,Wuhan,2,office,L,315,6,2,1,1,0,0,0,0,,,0.0,0.0,0.507,mild,0.9384,0,0,0.0,4,5,67.0,58.0,55.0,57.0,7.302967433402214,56.142857142857146,0.0,25.681428571428572,12.0
2024-02-05,S001,beverages,54,1047.47,10.51,42.66,0.0792,Wuhan,2,office,L,315,0,2,1,0,0,0,0,0,,,0.0,0.0,0.3792,mild,1.0759,0,0,0.0,5,6,62.0,54.0,67.0,57.57142857142857,7.546680127869537,56.392857142857146,0.0,28.154285714285717,13.0
2024-02-06,S001,beverages,47,831.6,31.61,45.08,0.0785,Wuhan,2,office,L,315,1,2,1,0,0,0,0,0,,,0.0,0.0,0.6717,mild,1.0658,0,0,0.0,6,6,54.0,61.0,58.0,57.57142857142857,7.546680127869537,55.82142857142857,0.0,24.844285714285714,14.0
2024-02-07,S001,beverages,50,914.62,28.56,31.77,0.0729,Wuhan,2,office,L,315,2,2,1,0,0,0,0,0,,,0.0,0.0,0.4313,mild,1.0646,0,0,0.0,7,6,47.0,45.0,51.0,55.57142857142857,8.303757038376114,55.32142857142857,0.0,26.74285714285714,15.0
2024-02-08,S001,beverages,54,1011.82,25.72,29.68,0.0709,Wuhan,2,office,L,315,3,2,2,0,0,0,0,0,,,0.0,0.0,0.5956,mild,1.035,0,0,0.0,8,6,50.0,52.0,50.0,56.285714285714285,7.409774753982866,54.785714285714285,0.0,26.617142857142856,16.0
2024-02-09,S001,beverages,48,876.86,29.43,32.41,0.0668,Wuhan,2,office,L,315,4,2,2,0,0,0,0,0,,,0.0,0.0,0.4505,mild,1.0748,0,0,0.0,9,6,54.0,62.0,49.0,56.57142857142857,7.253898787483016,54.892857142857146,0.0,26.415714285714284,17.0
2024-02-10,S001,beverages,74,1371.27,28.19,43.65,0.0694,Wuhan,2,office,L,315,5,2,2,1,0,0,0,1,,,0.0,0.0,0.4002,mild,1.0818,0,0,0.0,10,6,48.0,67.0,65.0,54.57142857142857,7.4354363883846215,54.75,0.0,27.068571428571428,18.0
2024-02-11,S001,beverages,70,1237.49,31.74,34.4,0.0782,Wuhan,2,office,L,315,6,2,2,1,0,0,0,1,,,0.0,0.0,0.3928,mild,1.0565,0,0,0.0,11,6,74.0,62.0,58.0,55.57142857142857,9.554355775546261,55.142857142857146,0.0,28.64142857142857,19.0
2024-02-12,S001,beverages,61,1060.66,28.11,41.09,0.0735,Wuhan,2,office,L,315,0,2,2,0,0,0,0,1,,,0.0,0.0,0.2392,mild,1.1685,0,0,0.0,12,7,70.0,54.0,54.0,56.714285714285715,10.843035948083385,55.464285714285715,0.0,26.537142857142857,20.0
2024-02-13,S001,beverages,92,1490.07,19.01,33.07,0.0776,Wuhan,2,office,L,315,1,2,2,0,0,0,0,1,C7922,bundle,0.209,0.0,0.227,mild,1.155,0,1,0.209,13,7,61.0,47.0,61.0,57.714285714285715,10.873734190152677,55.92857142857143,0.0,29.05142857142857,21.0
2024-02-14,S001,beverages,65,1096.41,18.21,48.65,0.0632,Wuhan,2,office,L,315,2,2,2,0,0,0,0,1,,,0.0,0.0,0.5772,mild,1.1663,0,0,0.0,14,7,92.0,50.0,45.0,64.14285714285714,15.710172621888157,57.42857142857143,1.0,27.251428571428573,0.0
2024-02-15,S001,beverages,54,912.05,35.12,41.16,0.0821,Wuhan,2,office,L,315,3,2,3,0,0,0,1,0,,,0.0,0.0,0.4159,mild,1.0219,0,0,0.0,15,7,65.0,54.0,52.0,66.28571428571429,14.430457208214012,57.964285714285715,1.0,25.772857142857145,1.0
2024-02-16,S001,beverages,56,968.82,10.35,37.55,0.0572,Wuhan,2,office,L,315,4,2,3,0,0,0,1,0,,,0.0,0.0,0.1281,mild,1.0273,0,0,0.0,16,7,54.0,48.0,62.0,66.28571428571429,14.430457208214012,58.32142857142857,1.0,27.115714285714287,2.0
2024-02-17,S001,beverages,67,1209.59,12.6,34.64,0.0732,Wuhan,2,office,L,315,5,2,3,1,0,0,0,0,,,0.0,0.0,0.2505,mild,0.9686,0,0,0.0,17,7,56.0,74.0,67.0,67.42857142857143,12.985339719046559,58.57142857142857,1.0,24.389999999999997,3.0
2024-02-18,S001,beverages,60,1076.02,29.98,38.0,0.0708,Wuhan,2,office,L,315,6,2,3,1,0,0,0,0,,,0.0,0.0,0.5109,mild,0.909,0,0,0.0,18,7,67.0,70.0,62.0,66.42857142857143,12.66039945205975,58.857142857142854,1.0,22.162857142857145,4.0
2024-02-19,S001,beverages,61,1145.34,15.1,34.1,0.0681,Wuhan,2,office,L,315,0,2,3,0,0,0,0,0,,,0.0,0.0,0.3753,mild,1.1631,0,0,0.0,19,8,60.0,61.0,54.0,65.0,12.754084313139344,59.035714285714285,1.0,21.91142857142857,5.0
2024-02-20,S001,beverages,55,960.93,20.6,28.47,0.0515,Wuhan,2,office,L,315,1,2,3,0,0,0,0,0,,,0.0,0.0,0.2508,mild,1.0974,0,0,0.0,20,8,61.0,92.0,47.0,65.0,12.754084313139344,58.82142857142857,1.0,20.052857142857142,6.0
2024-02-21,S001,beverages,77,1128.07,16.11,37.13,0.0625,Wuhan,2,office,L,315,2,2,3,0,0,0,0,0,C2689,coupon,0.19,0.0,0.056,mild,1.0363,0,1,0.19,21,8,55.0,65.0,50.0,59.714285714285715,5.023753102820194,58.714285714285715,0.0,20.28,7.0
2024-02-22,S001,beverages,53,885.51,11.0,34.44,0.0451,Wuhan,2,office,L,315,3,2,4,0,0,0,0,0,,,0.0,0.0,0.2661,mild,1.0567,0,0,0.0,22,8,77.0,54.0,54.0,61.42857142857143,8.182443458550834,59.642857142857146,1.0,19.98,0.0
2024-02-23,S001,beverages,54,968.43,23.19,35.65,0.074,Wuhan,2,office,L,315,4,2,4,0,0,0,0,0,,,0.0,0.0,0.5857,mild,1.0131,1,0,0.0,23,8,53.0,56.0,48.0,61.285714285714285,8.340948901140022,59.75,1.0,16.534285714285712,1.0
2024-02-24,S001,beverages,56,960.74,15.3,36.68,0.0642,Wuhan,2,office,L,315,5,2,4,1,0,0,0,0,,,0.0,0.0,0.5132,mild,0.9488,0,0,0.0,24,8,54.0,67.0,74.0,61.0,8.582928793055842,59.92857142857143,1.0,18.368571428571432,2.0
2024-02-25,S001,beverages,82,1519.56,12.6,32.26,0.0533,Wuhan,2,office,L,315,6,2,4,1,0,0,0,0,C8270,free_delivery,0.05,0.0,0.0741,mild,0.9408,0,1,0.05,25,8,56.0,60.0,70.0,59.42857142857143,8.303757038376135,59.607142857142854,1.0,18.754285714285714,3.0
2024-02-26,S001,beverages,54,995.42,23.66,33.22,0.0701,Wuhan,2,office,L,315,0,2,4,0,0,0,0,0,,,0.0,0.0,0.3458,mild,1.0139,0,0,0.0,26,9,82.0,61.0,61.0,62.57142857142857,11.928357568656079,60.464285714285715,2.0,16.271428571428572,0.0
2024-02-27,S001,beverages,54,952.26,14.31,33.47,0.0666,Wuhan,2,office,L,315,1,2,4,0,0,0,0,0,,,0.0,0.0,0.3218,mild,1.0776,0,0,0.0,27,9,54.0,55.0,92.0,61.57142857142857,12.36739184114344,60.464285714285715,2.0,17.494285714285716,1.0
2024-02-28,S001,beverages,59,1099.89,24.88,41.65,0.0783,Wuhan,2,office,L,315,2,2,4,0,0,0,1,0,,,0.0,0.0,0.2143,mild,1.041,0,0,0.0,28,9,54.0,77.0,65.0,61.42857142857143,12.461368876881652,60.214285714285715,2.0,16.595714285714287,2.0
2024-02-29,S001,beverages,83,1325.61,9.15,28.24,0.0541,Wuhan,2,office,L,315,3,2,5,0,0,1,1,0,C5467,free_delivery,0.12,0.0,0.2507,mild,1.0664,0,1,0.12,29,9,59.0,53.0,54.0,58.857142857142854,10.399175791516235,60.714285714285715,1.0,17.84857142857143,3.0
2024-03-01,S001,beverages,65,1221.22,17.62,22.09,0.0639,Wuhan,2,office,L,315,4,3,1,0,1,0,1,0,,,0.0,0.0,0.0,mild,1.0476,0,0,0.0,1,9,83.0,54.0,56.0,63.142857142857146,13.347016788138749,61.82142857142857,2.0,17.584285714285716,0.0
2024-03-02,S001,beverages,68,1225.3,23.17,34.67,0.0555,Wuhan,2,office,L,315,5,3,1,1,0,0,1,0,,,0.0,0.0,0.2944,mild,0.998,0,0,0.0,2,9,65.0,56.0,67.0,64.71428571428571,12.724180205607057,61.92857142857143,2.0,16.78857142857143,1.0
2024-03-03,S001,beverages,75,1288.65,11.55,37.75,0.0763,Wuhan,2,office,L,315,6,3,1,1,0,0,1,0,,,0.0,0.0,0.399,mild,1.0053,0,0,0.0,3,9,68.0,82.0,60.0,66.42857142857143,12.149857925879143,61.964285714285715,2.0,17.912857142857142,2.0
2024-03-04,S001,beverages,43,806.6,37.48,32.69,0.0854,Wuhan,2,office,L,315,0,3,1,0,0,0,0,0,,,0.0,0.0,0.5625,mild,1.144,0,0,0.0,4,10,75.0,54.0,61.0,65.42857142857143,10.875923606099613,62.42857142857143,1.0,17.762857142857143,3.0
2024-03-05,S001,beverages,55,1019.6,29.64,35.6,0.0819,Wuhan,2,office,L,315,1,3,1,0,0,0,0,0,,,0.0,0.0,0.3744,mild,1.0618,0,0,0.0,5,10,43.0,54.0,55.0,63.857142857142854,13.32201900900126,62.035714285714285,1.0,19.737142857142857,4.0
2024-03-06,S001,beverages,53,1003.77,30.0,32.38,0.0772,Wuhan,2,office,L,315,2,3,1,0,0,0,0,0,,,0.0,0.0,0.1791,mild,1.0949,0,0,0.0,6,10,55.0,59.0,77.0,64.0,13.203534880225588,62.32142857142857,1.0,21.927142857142858,5.0
2024-03-07,S001,beverages,60,976.66,21.21,28.38,0.0735,Wuhan,2,office,L,315,3,3,1,0,0,0,0,0,,,0.0,0.0,0.1982,mild,0.9758,0,0,0.0,7,10,53.0,83.0,53.0,63.142857142857146,13.7650350699223,62.42857142857143,1.0,22.65857142857143,6.0
2024-03-08,S001,beverages,52,943.35,21.9,35.59,0.0787,Wuhan,2,office,L,315,4,3,2,0,0,0,0,0,,,0.0,0.0,0.1857,mild,1.0882,0,0,0.0,8,10,60.0,65.0,54.0,59.857142857142854,10.621182787690072,62.642857142857146,0.0,24.381428571428568,7.0
2024-03-09,S001,beverages,66,1302.22,18.19,29.67,0.0679,Wuhan,2,office,L,315,5,3,2,1,0,0,0,0,,,0.0,0.0,0.2723,mild,1.0078,0,0,0.0,9,10,52.0,68.0,56.0,58.0,10.708252269472668,62.785714285714285,0.0,24.99285714285714,8.0
2024-03-10,S001,beverages,66,1287.81,27.29,29.44,0.0739,Wuhan,2,office,L,315,6,3,2,1,0,0,0,0,,,0.0,0.0,0.6427,mild,0.9935,0,0,0.0,10,10,66.0,75.0,82.0,57.714285714285715,10.419761445034547,62.5,0.0,24.28142857142857,9.0
2024-03-11,S001,beverages,51,845.46,25.13,36.22,0.0738,Wuhan,2,office,L,315,0,3,2,0,0,0,0,0,,,0.0,0.0,0.4607,mild,1.0233,0,0,0.0,11,11,66.0,43.0,54.0,56.42857142857143,8.263517065131168,62.357142857142854,0.0,26.529999999999998,10.0
2024-03-12,S001,beverages,59,1051.1,36.07,32.14,0.0848,Wuhan,2,office,L,315,1,3,2,0,0,0,0,0,,,0.0,0.0,0.4572,mild,0.9953,0,0,0.0,12,11,51.0,55.0,54.0,57.57142857142857,6.451282633635536,62.0,0.0,24.76571428571429,11.0
2024-03-13,S001,beverages,55,897.25,32.17,31.46,0.0707,Wuhan,2,office,L,315,2,3,2,0,0,0,0,0,,,0.0,0.0,0.2862,mild,1.1488,0,0,0.0,13,11,59.0,53.0,59.0,58.142857142857146,6.362090102803508,60.82142857142857,0.0,25.684285714285718,12.0
2024-03-14,S001,beverages,57,1059.22,17.95,36.04,0.0762,Wuhan,2,office,L,315,3,3,2,0,0,0,0,0,,,0.0,0.0,0.4735,mild,1.0476,0,0,0.0,14,11,55.0,60.0,83.0,58.42857142857143,6.1334368521284635,60.464285714285715,0.0,25.994285714285716,13.0
2024-03-15,S001,beverages,59,1003.87,26.55,27.49,0.0901,Wuhan,2,office,L,315,4,3,3,0,0,0,1,0,,,0.0,0.0,0.0,mild,1.0265,0,0,0.0,15,11,57.0,52.0,65.0,58.0,6.1101009266077755,60.57142857142857,0.0,25.528571428571432,14.0
2024-03-16,S001,beverages,71,1327.27,17.5,28.05,0.0814,Wuhan,2,office,L,315,5,3,3,1,0,0,1,0,,,0.0,0.0,0.0,mild,0.9796,0,0,0.0,16,11,59.0,66.0,68.0,59.0,5.507570547286098,60.67857142857143,0.0,26.192857142857143,15.0
2024-03-17,S001,beverages,70,1031.01,4.3,25.93,0.0578,Wuhan,2,office,L,315,6,3,3,1,0,0,0,0,,,0.0,0.0,0.0,mild,0.9289,0,0,0.0,17,11,71.0,66.0,75.0,59.714285714285715,6.750661343263235,60.82142857142857,0.0,26.094285714285714,16.0
2024-03-18,S001,beverages,93,1398.22,14.95,36.3,0.0651,Wuhan,2,office,L,315,0,3,3,0,0,0,0,0,C4359,free_delivery,0.313,1.0,0.1079,mild,1.0714,0,1,0.313,18,12,70.0,51.0,43.0,60.285714285714285,7.499206307209803,61.17857142857143,0.0,22.810000000000002,17.0
2024-03-19,S001,beverages,52,886.37,24.07,34.1,0.0823,Wuhan,2,office,L,315,1,3,3,0,0,0,0,0,,,0.0,0.0,0.3465,mild,1.0576,0,0,0.0,19,12,93.0,59.0,55.0,66.28571428571429,13.350584078537375,62.32142857142857,1.0,21.35571428571429,0.0
2024-03-20,S001,beverages,64,1046.09,28.89,28.25,0.0645,Wuhan,2,office,L,315,2,3,3,0,0,0,0,0,,,0.0,0.0,0.1592,mild,1.0888,0,0,0.0,20,12,52.0,55.0,53.0,65.28571428571429,14.221044098029356,62.214285714285715,1.0,19.641428571428573,1.0
2024-03-21,S001,beverages,57,1082.61,10.97,30.01,0.0623,Wuhan,2,office,L,315,3,3,3,0,0,0,0,0,,,0.0,0.0,0.0,mild,1.0412,0,0,0.0,21,12,64.0,57.0,60.0,66.57142857142857,13.525989093311491,61.75,1.0,19.172857142857143,2.0
2024-03-22,S001,beverages,60,1177.5,7.96,33.3,0.0707,Wuhan,2,office,L,315,4,3,4,0,0,0,0,0,,,0.0,0.0,0.0,mild,1.0983,0,0,0.0,22,12,57.0,59.0,52.0,66.57142857142857,13.525989093311491,61.892857142857146,1.0,18.175714285714285,3.0
2024-03-23,S001,beverages,99,1665.6,14.64,26.48,0.0729,Wuhan,2,office,L,315,5,3,4,1,0,0,0,0,C7047,free_delivery,0.219,1.0,0.0,mild,0.9366,0,1,0.219,23,12,60.0,71.0,66.0,66.71428571428571,13.437686875776985,62.107142857142854,1.0,15.520000000000001,4.0
2024-03-24,S001,beverages,74,1299.67,15.55,28.21,0.0485,Wuhan,2,office,L,315,6,3,4,1,0,0,0,0,,,0.0,0.0,0.0,mild,0.9257,0,0,0.0,24,12,99.0,70.0,66.0,70.71428571428571,18.236541025409103,63.642857142857146,2.0,15.111428571428572,0.0
2024-03-25,S001,beverages,59,1013.55,20.62,29.57,0.0762,Wuhan,2,office,L,315,0,3,4,0,0,0,0,0,,,0.0,0.0,0.0457,mild,1.0761,0,0,0.0,25,13,74.0,93.0,51.0,71.28571428571429,18.273061098369993,63.357142857142854,2.0,16.71857142857143,1.0
2024-03-26,S001,beverages,55,1047.83,20.52,36.5,0.0684,Wuhan,2,office,L,315,1,3,4,0,0,0,0,0,,,0.0,0.0,0.377,mild,1.0895,0,0,0.0,26,13,59.0,52.0,59.0,66.42857142857143,15.904476758208093,63.535714285714285,1.0,17.528571428571432,2.0
2024-03-27,S001,beverages,55,999.99,23.65,35.81,0.0794,Wuhan,2,office,L,315,2,3,4,0,0,0,0,0,,,0.0,0.0,0.1227,mild,1.075,0,0,0.0,27,13,55.0,64.0,55.0,66.85714285714286,15.485784571971944,63.57142857142857,1.0,17.021428571428572,3.0
2024-03-28,S001,beverages,73,1390.6,14.82,26.62,0.0591,Wuhan,2,office,L,315,3,3,4,0,0,0,1,0,,,0.0,0.0,0.0,mild,1.1007,1,0,0.0,28,13,55.0,57.0,57.0,65.57142857142857,16.12303882499764,63.42857142857143,1.0,16.27285714285714,4.0
2024-03-29,S001,beverages,61,1062.75,22.01,39.42,0.0766,Wuhan,2,office,L,315,4,3,5,0,0,0,1,0,,,0.0,0.0,0.3638,mild,1.1216,0,0,0.0,29,13,73.0,60.0,59.0,67.85714285714286,15.836967001592328,63.07142857142857,1.0,16.822857142857142,5.0
2024-03-30,S001,beverages,77,1370.75,0.0,31.81,0.0674,Wuhan,2,office,L,315,5,3,5,1,0,0,1,0,,,0.0,0.0,0.0431,mild,0.9703,0,0,0.0,30,13,61.0,99.0,71.0,68.0,15.7585955380971,62.92857142857143,1.0,18.830000000000002,6.0
2024-03-31,S001,beverages,73,1190.56,30.93,32.85,0.0644,Wuhan,2,office,L,315,6,3,5,1,0,1,1,0,,,0.0,0.0,0.3879,mild,0.9531,0,0,0.0,31,13,77.0,74.0,70.0,64.85714285714286,9.494359227607596,63.25,0.0,16.73857142857143,7.0
2024-04-01,S001,beverages,63,1249.21,1.21,32.98,0.0614,Wuhan,2,office,L,315,0,4,1,0,1,0,1,0,,,0.0,0.0,0.0,mild,1.0215,0,0,0.0,1,14,73.0,59.0,93.0,64.71428571428571,9.340133577101325,63.17857142857143,0.0,18.935714285714287,8.0
