date,store_id,category,orders,gmv,stockout_minutes,avg_delivery_time,refund_rate,city,city_tier,business_district_type,store_size,opened_days,day_of_week,month,week_of_month,is_weekend,is_month_start,is_month_end,is_payday_window,is_holiday,campaign_id,promo_type,promo_depth,coupon_flag,rain_level,temperature_bin,traffic_index,event_flag,promo_flag,discount_rate
2024-01-26,S001,beverages,49,967.46,22.27,32.98,0.0872,Wuhan,2,office,L,315,4,1,4,0,0,0,0,0,,,0.0,0.0,0.6331,mild,1.0492,0,0,0.0
2024-01-27,S001,beverages,65,1177.49,19.16,33.82,0.0592,Wuhan,2,office,L,315,5,1,4,1,0,0,0,0,,,0.0,0.0,0.5433,mild,1.021,0,0,0.0
2024-01-28,S001,beverages,58,1009.25,29.16,36.85,0.0787,Wuhan,2,office,L,315,6,1,4,1,0,0,1,0,,,0.0,0.0,0.6871,mild,0.9476,1,0,0.0
2024-01-29,S001,beverages,54,1017.17,33.68,33.04,0.0735,Wuhan,2,office,L,315,0,1,5,0,0,0,1,0,,,0.0,0.0,0.6587,mild,1.058,0,0,0.0
2024-01-30,S001,beverages,61,1082.09,18.32,34.02,0.0742,Wuhan,2,office,L,315,1,1,5,0,0,0,1,0,,,0.0,0.0,0.0,mild,1.1209,0,0,0.0
2024-01-31,S001,beverages,45,876.87,29.44,41.03,0.0995,Wuhan,2,office,L,315,2,1,5,0,0,1,1,0,,,0.0,0.0,0.8674,mild,1.0693,0,0,0.0
2024-02-01,S001,beverages,52,995.47,27.13,28.66,0.0601,Wuhan,2,office,L,315,3,2,1,0,1,0,1,0,,,0.0,0.0,0.4436,mild,1.0705,0,0,0.0
2024-02-02,S001,beverages,62,1153.06,24.86,35.52,0.0953,Wuhan,2,office,L,315,4,2,1,0,0,0,1,0,,,0.0,0.0,0.8072,mild,1.1596,0,0,0.0
2024-02-03,S001,beverages,67,1184.16,17.18,32.54,0.0591,Wuhan,2,office,L,315,5,2,1,1,0,0,1,0,,,0.0,0.0,0.4999,mild,0.8982,0,0,0.0
2024-02-04,S001,beverages,62,1168.69,46.47,34.39,0.0814,Wuhan,2,office,L,315,6,2,1,1,0,0,0,0,,,0.0,0.0,0.507,mild,0.9384,0,0,0.0
2024-02-05,S001,beverages,54,1047.47,10.51,42.66,0.0792,Wuhan,2,office,L,315,0,2,1,0,0,0,0,0,,,0.0,0.0,0.3792,mild,1.0759,0,0,0.0
2024-02-06,S001,beverages,47,831.6,31.61,45.08,0.0785,Wuhan,2,office,L,315,1,2,1,0,0,0,0,0,,,0.0,0.0,0.6717,mild,1.0658,0,0,0.0
2024-02-07,S001,beverages,50,914.62,28.56,31.77,0.0729,Wuhan,2,office,L,315,2,2,1,0,0,0,0,0,,,0.0,0.0,0.4313,mild,1.0646,0,0,0.0
2024-02-08,S001,beverages,54,1011.82,25.72,29.68,0.0709,Wuhan,2,office,L,315,3,2,2,0,0,0,0,0,,,0.0,0.0,0.5956,mild,1.035,0,0,0.0
2024-02-09,S001,beverages,48,876.86,29.43,32.41,0.0668,Wuhan,2,office,L,315,4,2,2,0,0,0,0,0,,,0.0,0.0,0.4505,mild,1.0748,0,0,0.0
2024-02-10,S001,beverages,74,1371.27,28.19,43.65,0.0694,Wuhan,2,office,L,315,5,2,2,1,0,0,0,1,,,0.0,0.0,0.4002,mild,1.0818,0,0,0.0
2024-02-11,S001,beverages,70,1237.49,31.74,34.4,0.0782,Wuhan,2,office,L,315,6,2,2,1,0,0,0,1,,,0.0,0.0,0.3928,mild,1.0565,0,0,0.0
2024-02-12,S001,beverages,61,1060.66,28.11,41.09,0.0735,Wuhan,2,office,L,315,0,2,2,0,0,0,0,1,,,0.0,0.0,0.2392,mild,1.1685,0,0,0.0
2024-02-13,S001,beverages,92,1490.07,19.01,33.07,0.0776,Wuhan,2,office,L,315,1,2,2,0,0,0,0,1,C7922,bundle,0.209,0.0,0.227,mild,1.155,0,1,0.209
2024-02-14,S001,beverages,65,1096.41,18.21,48.65,0.0632,Wuhan,2,office,L,315,2,2,2,0,0,0,0,1,,,0.0,0.0,0.5772,mild,1.1663,0,0,0.0
2024-02-15,S001,beverages,54,912.05,35.12,41.16,0.0821,Wuhan,2,office,L,315,3,2,3,0,0,0,1,0,,,0.0,0.0,0.4159,mild,1.0219,0,0,0.0
2024-02-16,S001,beverages,56,968.82,10.35,37.55,0.0572,Wuhan,2,office,L,315,4,2,3,0,0,0,1,0,,,0.0,0.0,0.1281,mild,1.0273,0,0,0.0
2024-02-17,S001,beverages,67,1209.59,12.6,34.64,0.0732,Wuhan,2,office,L,315,5,2,3,1,0,0,0,0,,,0.0,0.0,0.2505,mild,0.9686,0,0,0.0
2024-02-18,S001,beverages,60,1076.02,29.98,38.0,0.0708,Wuhan,2,office,L,315,6,2,3,1,0,0,0,0,,,0.0,0.0,0.5109,mild,0.909,0,0,0.0
2024-02-19,S001,beverages,61,1145.34,15.1,34.1,0.0681,Wuhan,2,office,L,315,0,2,3,0,0,0,0,0,,,0.0,0.0,0.3753,mild,1.1631,0,0,0.0
2024-02-20,S001,beverages,55,960.93,20.6,28.47,0.0515,Wuhan,2,office,L,315,1,2,3,0,0,0,0,0,,,0.0,0.0,0.2508,mild,1.0974,0,0,0.0
2024-02-21,S001,beverages,77,1128.07,16.11,37.13,0.0625,Wuhan,2,office,L,315,2,2,3,0,0,0,0,0,C2689,coupon,0.19,0.0,0.056,mild,1.0363,0,1,0.19
2024-02-22,S001,beverages,53,885.51,11.0,34.44,0.0451,Wuhan,2,office,L,315,3,2,4,0,0,0,0,0,,,0.0,0.0,0.2661,mild,1.0567,0,0,0.0
2024-02-23,S001,beverages,54,968.43,23.19,35.65,0.074,Wuhan,2,office,L,315,4,2,4,0,0,0,0,0,,,0.0,0.0,0.5857,mild,1.0131,1,0,0.0
2024-02-24,S001,beverages,56,960.74,15.3,36.68,0.0642,Wuhan,2,office,L,315,5,2,4,1,0,0,0,0,,,0.0,0.0,0.5132,mild,0.9488,0,0,0.0
2024-02-25,S001,beverages,82,1519.56,12.6,32.26,0.0533,Wuhan,2,office,L,315,6,2,4,1,0,0,0,0,C8270,free_delivery,0.05,0.0,0.0741,mild,0.9408,0,1,0.05
2024-02-26,S001,beverages,54,995.42,23.66,33.22,0.0701,Wuhan,2,office,L,315,0,2,4,0,0,0,0,0,,,0.0,0.0,0.3458,mild,1.0139,0,0,0.0
2024-02-27,S001,beverages,54,952.26,14.31,33.47,0.0666,Wuhan,2,office,L,315,1,2,4,0,0,0,0,0,,,0.0,0.0,0.3218,mild,1.0776,0,0,0.0
2024-02-28,S001,beverages,59,1099.89,24.88,41.65,0.0783,Wuhan,2,office,L,315,2,2,4,0,0,0,1,0,,,0.0,0.0,0.2143,mild,1.041,0,0,0.0
2024-02-29,S001,beverages,83,1325.61,9.15,28.24,0.0541,Wuhan,2,office,L,315,3,2,5,0,0,1,1,0,C5467,free_delivery,0.12,0.0,0.2507,mild,1.0664,0,1,0.12
2024-03-01,S001,beverages,65,1221.22,17.62,22.09,0.0639,Wuhan,2,office,L,315,4,3,1,0,1,0,1,0,,,0.0,0.0,0.0,mild,1.0476,0,0,0.0
2024-03-02,S001,beverages,68,1225.3,23.17,34.67,0.0555,Wuhan,2,office,L,315,5,3,1,1,0,0,1,0,,,0.0,0.0,0.2944,mild,0.998,0,0,0.0
2024-03-03,S001,beverages,75,1288.65,11.55,37.75,0.0763,Wuhan,2,office,L,315,6,3,1,1,0,0,1,0,,,0.0,0.0,0.399,mild,1.0053,0,0,0.0
2024-03-04,S001,beverages,43,806.6,37.48,32.69,0.0854,Wuhan,2,office,L,315,0,3,1,0,0,0,0,0,,,0.0,0.0,0.5625,mild,1.144,0,0,0.0
2024-03-05,S001,beverages,55,1019.6,29.64,35.6,0.0819,Wuhan,2,office,L,315,1,3,1,0,0,0,0,0,,,0.0,0.0,0.3744,mild,1.0618,0,0,0.0
2024-03-06,S001,beverages,53,1003.77,30.0,32.38,0.0772,Wuhan,2,office,L,315,2,3,1,0,0,0,0,0,,,0.0,0.0,0.1791,mild,1.0949,0,0,0.0
2024-03-07,S001,beverages,60,976.66,21.21,28.38,0.0735,Wuhan,2,office,L,315,3,3,1,0,0,0,0,0,,,0.0,0.0,0.1982,mild,0.9758,0,0,0.0
2024-03-08,S001,beverages,52,943.35,21.9,35.59,0.0787,Wuhan,2,office,L,315,4,3,2,0,0,0,0,0,,,0.0,0.0,0.1857,mild,1.0882,0,0,0.0
2024-03-09,S001,beverages,66,1302.22,18.19,29.67,0.0679,Wuhan,2,office,L,315,5,3,2,1,0,0,0,0,,,0.0,0.0,0.2723,mild,1.0078,0,0,0.0
2024-03-10,S001,beverages,66,1287.81,27.29,29.44,0.0739,Wuhan,2,office,L,315,6,3,2,1,0,0,0,0,,,0.0,0.0,0.6427,mild,0.9935,0,0,0.0
2024-03-11,S001,beverages,51,845.46,25.13,36.22,0.0738,Wuhan,2,office,L,315,0,3,2,0,0,0,0,0,,,0.0,0.0,0.4607,mild,1.0233,0,0,0.0
2024-03-12,S001,beverages,59,1051.1,36.07,32.14,0.0848,Wuhan,2,office,L,315,1,3,2,0,0,0,0,0,,,0.0,0.0,0.4572,mild,0.9953,0,0,0.0
2024-03-13,S001,beverages,55,897.25,32.17,31.46,0.0707,Wuhan,2,office,L,315,2,3,2,0,0,0,0,0,,,0.0,0.0,0.2862,mild,1.1488,0,0,0.0
2024-03-14,S001,beverages,57,1059.22,17.95,36.04,0.0762,Wuhan,2,office,L,315,3,3,2,0,0,0,0,0,,,0.0,0.0,0.4735,mild,1.0476,0,0,0.0
2024-03-15,S001,beverages,59,1003.87,26.55,27.49,0.0901,Wuhan,2,office,L,315,4,3,3,0,0,0,1,0,,,0.0,0.0,0.0,mild,1.0265,0,0,0.0
2024-03-16,S001,beverages,71,1327.27,17.5,28.05,0.0814,Wuhan,2,office,L,315,5,3,3,1,0,0,1,0,,,0.0,0.0,0.0,mild,0.9796,0,0,0.0
2024-03-17,S001,beverages,70,1031.01,4.3,25.93,0.0578,Wuhan,2,office,L,315,6,3,3,1,0,0,0,0,,,0.0,0.0,0.0,mild,0.9289,0,0,0.0
2024-03-18,S001,beverages,93,1398.22,14.95,36.3,0.0651,Wuhan,2,office,L,315,0,3,3,0,0,0,0,0,C4359,free_delivery,0.313,1.0,0.1079,mild,1.0714,0,1,0.313
2024-03-19,S001,beverages,52,886.37,24.07,34.1,0.0823,Wuhan,2,office,L,315,1,3,3,0,0,0,0,0,,,0.0,0.0,0.3465,mild,1.0576,0,0,0.0
2024-03-20,S001,beverages,64,1046.09,28.89,28.25,0.0645,Wuhan,2,office,L,315,2,3,3,0,0,0,0,0,,,0.0,0.0,0.1592,mild,1.0888,0,0,0.0
2024-03-21,S001,beverages,57,1082.61,10.97,30.01,0.0623,Wuhan,2,office,L,315,3,3,3,0,0,0,0,0,,,0.0,0.0,0.0,mild,1.0412,0,0,0.0
2024-03-22,S001,beverages,60,1177.5,7.96,33.3,0.0707,Wuhan,2,office,L,315,4,3,4,0,0,0,0,0,,,0.0,0.0,0.0,mild,1.0983,0,0,0.0
2024-03-23,S001,beverages,99,1665.6,14.64,26.48,0.0729,Wuhan,2,office,L,315,5,3,4,1,0,0,0,0,C7047,free_delivery,0.219,1.0,0.0,mild,0.9366,0,1,0.219
2024-03-24,S001,beverages,74,1299.67,15.55,28.21,0.0485,Wuhan,2,office,L,315,6,3,4,1,0,0,0,0,,,0.0,0.0,0.0,mild,0.9257,0,0,0.0
2024-03-25,S001,beverages,59,1013.55,20.62,29.57,0.0762,Wuhan,2,office,L,315,0,3,4,0,0,0,0,0,,,0.0,0.0,0.0457,mild,1.0761,0,0,0.0
2024-03-26,S001,beverages,55,1047.83,20.52,36.5,0.0684,Wuhan,2,office,L,315,1,3,4,0,0,0,0,0,,,0.0,0.0,0.377,mild,1.0895,0,0,0.0
2024-03-27,S001,beverages,55,999.99,23.65,35.81,0.0794,Wuhan,2,office,L,315,2,3,4,0,0,0,0,0,,,0.0,0.0,0.1227,mild,1.075,0,0,0.0
2024-03-28,S001,beverages,73,1390.6,14.82,26.62,0.0591,Wuhan,2,office,L,315,3,3,4,0,0,0,1,0,,,0.0,0.0,0.0,mild,1.1007,1,0,0.0
2024-03-29,S001,beverages,61,1062.75,22.01,39.42,0.0766,Wuhan,2,office,L,315,4,3,5,0,0,0,1,0,,,0.0,0.0,0.3638,mild,1.1216,0,0,0.0
2024-03-30,S001,beverages,77,1370.75,0.0,31.81,0.0674,Wuhan,2,office,L,315,5,3,5,1,0,0,1,0,,,0.0,0.0,0.0431,mild,0.9703,0,0,0.0
2024-03-31,S001,beverages,73,1190.56,30.93,32.85,0.0644,Wuhan,2,office,L,315,6,3,5,1,0,1,1,0,,,0.0,0.0,0.3879,mild,0.9531,0,0,0.0
2024-04-01,S001,beverages,63,1249.21,1.21,32.98,0.0614,Wuhan,2,office,L,315,0,4,1,0,1,0,1,0,,,0.0,0.0,0.0,mild,1.0215,0,0,0.0
2024-04-02,S001,beverages,70,1324.55,11.14,25.32,0.042,Wuhan,2,office,L,315,1,4,1,0,0,0,1,0,,,0.0,0.0,0.0,mild,1.1139,0,0,0.0
2024-04-03,S001,beverages,66,1130.23,11.44,26.46,0.0723,Wuhan,2,office,L,315,2,4,1,0,0,0,1,0,,,0.0,0.0,0.0945,mild,1.116,0,0,0.0
2024-04-04,S001,beverages,68,1320.98,38.68,35.52,0.0846,Wuhan,2,office,L,315,3,4,1,0,0,0,0,1,,,0.0,0.0,0.4305,mild,1.153,0,0,0.0
2024-04-05,S001,beverages,76,1380.45,22.43,35.67,0.0846,Wuhan,2,office,L,315,4,4,1,0,0,0,0,1,,,0.0,0.0,0.1658,mild,1.199,1,0,0.0
2024-04-06,S001,beverages,98,1711.0,23.94,25.34,0.0512,Wuhan,2,office,L,315,5,4,1,1,0,0,0,0,C9719,discount,0.201,0.0,0.2384,mild,0.9708,0,1,0.201
2024-04-07,S001,beverages,61,1035.83,23.74,37.88,0.0582,Wuhan,2,office,L,315,6,4,1,1,0,0,0,0,,,0.0,0.0,0.1489,mild,1.0286,0,0,0.0
2024-04-08,S001,beverages,51,995.22,11.19,44.08,0.0551,Wuhan,2,office,L,315,0,4,2,0,0,0,0,0,,,0.0,0.0,0.0,mild,1.1744,0,0,0.0
2024-04-09,S001,beverages,64,1141.42,25.52,24.97,0.0563,Wuhan,2,office,L,315,1,4,2,0,0,0,0,0,,,0.0,0.0,0.3165,mild,1.0711,0,0,0.0
2024-04-10,S001,beverages,57,913.19,31.9,33.15,0.0729,Wuhan,2,office,L,315,2,4,2,0,0,0,0,0,,,0.0,0.0,0.0,mild,1.095,0,0,0.0
2024-04-11,S001,beverages,53,1037.26,40.57,31.77,0.0551,Wuhan,2,office,L,315,3,4,2,0,0,0,0,0,,,0.0,0.0,0.3245,mild,1.0875,0,0,0.0
2024-04-12,S001,beverages,66,1170.95,13.07,31.24,0.064,Wuhan,2,office,L,315,4,4,2,0,0,0,0,0,,,0.0,0.0,0.0,mild,1.0666,0,0,0.0
2024-04-13,S001,beverages,60,1019.35,7.11,29.65,0.0408,Wuhan,2,office,L,315,5,4,2,1,0,0,0,0,,,0.0,0.0,0.074,mild,0.9884,0,0,0.0
2024-04-14,S001,beverages,72,1272.55,7.98,28.93,0.0521,Wuhan,2,office,L,315,6,4,2,1,0,0,0,0,,,0.0,0.0,0.0395,mild,0.9972,0,0,0.0
2024-04-15,S001,beverages,55,1018.26,32.73,27.6,0.0674,Wuhan,2,office,L,315,0,4,3,0,0,0,1,0,,,0.0,0.0,0.1339,cold,1.0566,0,0,0.0
2024-04-16,S001,beverages,60,987.91,18.86,30.76,0.0602,Wuhan,2,office,L,315,1,4,3,0,0,0,1,0,,,0.0,0.0,0.0856,cold,1.1191,0,0,0.0
2024-04-17,S001,beverages,65,1201.95,26.85,45.22,0.0888,Wuhan,2,office,L,315,2,4,3,0,0,0,0,0,C2036,discount,0.102,0.0,0.0,cold,1.105,0,1,0.102
2024-04-18,S001,beverages,54,957.89,14.9,28.64,0.073,Wuhan,2,office,L,315,3,4,3,0,0,0,0,0,,,0.0,0.0,0.0042,cold,1.0423,0,0,0.0
2024-04-19,S001,beverages,49,801.63,15.98,34.09,0.0734,Wuhan,2,office,L,315,4,4,3,0,0,0,0,0,,,0.0,0.0,0.1684,cold,1.0683,0,0,0.0
2024-04-20,S001,beverages,56,1000.31,16.7,39.51,0.0655,Wuhan,2,office,L,315,5,4,3,1,0,0,0,0,,,0.0,0.0,0.0,cold,0.9833,0,0,0.0
2024-04-21,S001,beverages,64,1171.26,15.0,31.34,0.0581,Wuhan,2,office,L,315,6,4,3,1,0,0,0,0,,,0.0,0.0,0.0728,cold,0.9996,0,0,0.0
2024-04-22,S001,beverages,53,1006.85,18.77,28.8,0.0927,Wuhan,2,office,L,315,0,4,4,0,0,0,0,0,,,0.0,0.0,0.0033,cold,1.0632,0,0,0.0
2024-04-23,S001,beverages,52,1057.09,24.11,34.65,0.0541,Wuhan,2,office,L,315,1,4,4,0,0,0,0,0,,,0.0,0.0,0.2328,cold,1.0168,0,0,0.0
2024-04-24,S001,beverages,58,1060.59,31.81,37.66,0.0656,Wuhan,2,office,L,315,2,4,4,0,0,0,0,0,C2618,discount,0.053,0.0,0.1938,cold,1.0625,0,1,0.053
2024-04-25,S001,beverages,45,818.61,18.9,35.14,0.0775,Wuhan,2,office,L,315,3,4,4,0,0,0,0,0,,,0.0,0.0,0.0819,cold,1.0838,0,0,0.0
2024-04-26,S001,beverages,53,1052.99,16.7,31.92,0.0807,Wuhan,2,office,L,315,4,4,4,0,0,0,0,0,,,0.0,0.0,0.1063,cold,1.0307,0,0,0.0
2024-04-27,S001,beverages,64,1086.48,9.83,28.9,0.0373,Wuhan,2,office,L,315,5,4,4,1,0,0,0,0,,,0.0,0.0,0.2141,cold,0.9574,0,0,0.0
2024-04-28,S001,beverages,70,1372.23,13.96,26.65,0.0538,Wuhan,2,office,L,315,6,4,4,1,0,0,1,0,,,0.0,0.0,0.0,cold,0.9578,0,0,0.0
2024-04-29,S001,beverages,61,1143.75,29.84,28.56,0.0645,Wuhan,2,office,L,315,0,4,5,0,0,0,1,0,,,0.0,0.0,0.0,cold,1.0136,0,0,0.0
2024-04-30,S001,beverages,57,988.29,7.61,30.1,0.0614,Wuhan,2,office,L,315,1,4,5,0,0,1,1,0,,,0.0,0.0,0.0314,cold,1.0042,0,0,0.0
2024-05-01,S001,beverages,65,1128.88,10.83,29.06,0.0559,Wuhan,2,office,L,315,2,5,1,0,1,0,1,1,,,0.0,0.0,0.0,cold,1.1907,0,0,0.0
2024-05-02,S001,beverages,69,1165.66,18.83,31.64,0.0604,Wuhan,2,office,L,315,3,5,1,0,0,0,1,1,,,0.0,0.0,0.0,cold,1.1392,0,0,0.0
2024-05-03,S001,beverages,68,1244.78,19.96,36.73,0.0796,Wuhan,2,office,L,315,4,5,1,0,0,0,1,1,,,0.0,0.0,0.0035,cold,1.1759,0,0,0.0
2024-05-04,S001,beverages,69,1200.98,7.89,25.63,0.0627,Wuhan,2,office,L,315,5,5,1,1,0,0,0,0,,,0.0,0.0,0.0,cold,0.9359,0,0,0.0
2024-05-05,S001,beverages,83,1441.12,10.68,33.96,0.0646,Wuhan,2,office,L,315,6,5,1,1,0,0,0,0,C7360,bundle,0.129,0.0,0.0,cold,0.9277,0,1,0.129
2024-05-06,S001,beverages,56,1104.08,16.67,26.44,0.0794,Wuhan,2,office,L,315,0,5,1,0,0,0,0,0,,,0.0,0.0,0.076,cold,1.0148,0,0,0.0
2024-05-07,S001,beverages,58,1011.26,12.05,24.17,0.0522,Wuhan,2,office,L,315,1,5,1,0,0,0,0,0,,,0.0,0.0,0.0,cold,1.1064,0,0,0.0
2024-05-08,S001,beverages,54,967.63,5.95,30.55,0.0489,Wuhan,2,office,L,315,2,5,2,0,0,0,0,0,,,0.0,0.0,0.0,cold,1.1344,0,0,0.0
2024-05-09,S001,beverages,45,828.88,29.76,35.07,0.068,Wuhan,2,office,L,315,3,5,2,0,0,0,0,0,,,0.0,0.0,0.1767,cold,1.0874,0,0,0.0
2024-05-10,S001,beverages,56,1053.21,14.96,35.24,0.0665,Wuhan,2,office,L,315,4,5,2,0,0,0,0,0,,,0.0,0.0,0.1123,cold,1.1184,0,0,0.0
2024-05-11,S001,beverages,79,1275.05,20.53,26.21,0.0609,Wuhan,2,office,L,315,5,5,2,1,0,0,0,0,C3020,coupon,0.245,0.0,0.3275,cold,0.984,0,1,0.245
2024-05-12,S001,beverages,58,1068.07,9.73,30.63,0.0492,Wuhan,2,office,L,315,6,5,2,1,0,0,0,0,,,0.0,0.0,0.0495,cold,0.9555,0,0,0.0
2024-05-13,S001,beverages,53,859.45,19.38,31.38,0.0665,Wuhan,2,office,L,315,0,5,2,0,0,0,0,0,,,0.0,0.0,0.0,cold,1.0788,0,0,0.0
2024-05-14,S001,beverages,54,937.54,16.79,31.51,0.0516,Wuhan,2,office,L,315,1,5,2,0,0,0,0,0,,,0.0,0.0,0.0675,cold,1.0709,0,0,0.0
2024-05-15,S001,beverages,53,956.81,8.69,37.75,0.0647,Wuhan,2,office,L,315,2,5,3,0,0,0,1,0,,,0.0,0.0,0.1276,cold,1.0767,0,0,0.0
2024-05-16,S001,beverages,61,1101.83,10.88,33.21,0.0412,Wuhan,2,office,L,315,3,5,3,0,0,0,1,0,,,0.0,0.0,0.3321,cold,1.0643,0,0,0.0
2024-05-17,S001,beverages,58,1009.54,16.93,22.26,0.046,Wuhan,2,office,L,315,4,5,3,0,0,0,0,0,,,0.0,0.0,0.0,cold,1.0505,0,0,0.0
2024-05-18,S001,beverages,57,984.45,11.43,32.96,0.0691,Wuhan,2,office,L,315,5,5,3,1,0,0,0,0,,,0.0,0.0,0.263,cold,0.9678,0,0,0.0
2024-05-19,S001,beverages,63,1157.01,20.02,29.03,0.075,Wuhan,2,office,L,315,6,5,3,1,0,0,0,0,,,0.0,0.0,0.127,cold,0.953,0,0,0.0
2024-05-20,S001,beverages,47,926.27,20.41,30.89,0.067,Wuhan,2,office,L,315,0,5,3,0,0,0,0,0,,,0.0,0.0,0.0786,cold,1.0524,0,0,0.0
2024-05-21,S001,beverages,54,967.01,9.49,28.72,0.0611,Wuhan,2,office,L,315,1,5,3,0,0,0,0,0,,,0.0,0.0,0.0569,cold,1.0941,0,0,0.0
2024-05-22,S001,beverages,52,954.18,18.44,29.31,0.0669,Wuhan,2,office,L,315,2,5,4,0,0,0,0,0,,,0.0,0.0,0.1504,cold,1.0337,0,0,0.0
2024-05-23,S001,beverages,53,928.81,11.56,30.16,0.0453,Wuhan,2,office,L,315,3,5,4,0,0,0,0,0,,,0.0,0.0,0.0,cold,1.0271,0,0,0.0
