date,day_of_week,month,week_of_month,is_weekend,is_month_start,is_month_end,is_payday_window,is_holiday
2024-03-31,6,3,5,1,0,1,1,0
2024-04-01,0,4,1,0,1,0,1,0
2024-04-02,1,4,1,0,0,0,1,0
2024-04-03,2,4,1,0,0,0,1,0
2024-04-04,3,4,1,0,0,0,0,1
2024-04-05,4,4,1,0,0,0,0,1
2024-04-06,5,4,1,1,0,0,0,0
2024-04-07,6,4,1,1,0,0,0,0
2024-04-08,0,4,2,0,0,0,0,0
2024-04-09,1,4,2,0,0,0,0,0
2024-04-10,2,4,2,0,0,0,0,0
2024-04-11,3,4,2,0,0,0,0,0
2024-04-12,4,4,2,0,0,0,0,0
2024-04-13,5,4,2,1,0,0,0,0
2024-04-14,6,4,2,1,0,0,0,0
2024-04-15,0,4,3,0,0,0,1,0
2024-04-16,1,4,3,0,0,0,1,0
2024-04-17,2,4,3,0,0,0,0,0
2024-04-18,3,4,3,0,0,0,0,0
2024-04-19,4,4,3,0,0,0,0,0
2024-04-20,5,4,3,1,0,0,0,0
2024-04-21,6,4,3,1,0,0,0,0
2024-04-22,0,4,4,0,0,0,0,0
2024-04-23,1,4,4,0,0,0,0,0
2024-04-24,2,4,4,0,0,0,0,0
2024-04-25,3,4,4,0,0,0,0,0
2024-04-26,4,4,4,0,0,0,0,0
2024-04-27,5,4,4,1,0,0,0,0
2024-04-28,6,4,4,1,0,0,1,0
2024-04-29,0,4,5,0,0,0,1,0
2024-04-30,1,4,5,0,0,1,1,0
2024-05-01,2,5,1,0,1,0,1,1
2024-05-02,3,5,1,0,0,0,1,1
2024-05-03,4,5,1,0,0,0,1,1
2024-05-04,5,5,1,1,0,0,0,0
2024-05-05,6,5,1,1,0,0,0,0
2024-05-06,0,5,1,0,0,0,0,0
2024-05-07,1,5,1,0,0,0,0,0
2024-05-08,2,5,2,0,0,0,0,0
2024-05-09,3,5,2,0,0,0,0,0
2024-05-10,4,5,2,0,0,0,0,0
2024-05-11,5,5,2,1,0,0,0,0
2024-05-12,6,5,2,1,0,0,0,0
2024-05-13,0,5,2,0,0,0,0,0
2024-05-14,1,5,2,0,0,0,0,0
2024-05-15,2,5,3,0,0,0,1,0
2024-05-16,3,5,3,0,0,0,1,0
2024-05-17,4,5,3,0,0,0,0,0
2024-05-18,5,5,3,1,0,0,0,0
2024-05-19,6,5,3,1,0,0,0,0
2024-05-20,0,5,3,0,0,0,0,0
2024-05-21,1,5,3,0,0,0,0,0
2024-05-22,2,5,4,0,0,0,0,0
2024-05-23,3,5,4,0,0,0,0,0
2024-05-24,4,5,4,0,0,0,0,0
2024-05-25,5,5,4,1,0,0,0,0
2024-05-26,6,5,4,1,0,0,0,0
2024-05-27,0,5,4,0,0,0,0,0
2024-05-28,1,5,4,0,0,0,1,0
2024-05-29,2,5,5,0,0,0,1,0
2024-05-30,3,5,5,0,0,0,1,0
2024-05-31,4,5,5,0,0,1,1,0
2024-06-01,5,6,1,1,1,0,1,0
2024-06-02,6,6,1,1,0,0,1,0
2024-06-03,0,6,1,0,0,0,1,0
2024-06-04,1,6,1,0,0,0,0,0
2024-06-05,2,6,1,0,0,0,0,0
2024-06-06,3,6,1,0,0,0,0,0
2024-06-07,4,6,1,0,0,0,0,0
2024-06-08,5,6,2,1,0,0,0,0
2024-06-09,6,6,2,1,0,0,0,0
2024-06-10,0,6,2,0,0,0,0,1
2024-06-11,1,6,2,0,0,0,0,0
2024-06-12,2,6,2,0,0,0,0,0
2024-06-13,3,6,2,0,0,0,0,0
2024-06-14,4,6,2,0,0,0,0,0
2024-06-15,5,6,3,1,0,0,1,0
2024-06-16,6,6,3,1,0,0,1,0
2024-06-17,0,6,3,0,0,0,0,0
2024-06-18,1,6,3,0,0,0,0,0
2024-06-19,2,6,3,0,0,0,0,0
2024-06-20,3,6,3,0,0,0,0,0
2024-06-21,4,6,3,0,0,0,0,0
2024-06-22,5,6,4,1,0,0,0,0
2024-06-23,6,6,4,1,0,0,0,0
2024-06-24,0,6,4,0,0,0,0,0
2024-06-25,1,6,4,0,0,0,0,0
2024-06-26,2,6,4,0,0,0,0,0
2024-06-27,3,6,4,0,0,0,0,0
2024-06-28,4,6,4,0,0,0,1,0
2024-06-29,5,6,5,1,0,0,1,0
2024-06-30,6,6,5,1,0,1,1,0
2024-07-01,0,7,1,0,1,0,1,0
2024-07-02,1,7,1,0,0,0,1,0
2024-07-03,2,7,1,0,0,0,1,0
2024-07-04,3,7,1,0,0,0,0,0
2024-07-05,4,7,1,0,0,0,0,0
2024-07-06,5,7,1,1,0,0,0,0
2024-07-07,6,7,1,1,0,0,0,0
2024-07-08,0,7,2,0,0,0,0,0
2024-07-09,1,7,2,0,0,0,0,0
2024-07-10,2,7,2,0,0,0,0,0
2024-07-11,3,7,2,0,0,0,0,0
2024-07-12,4,7,2,0,0,0,0,0
2024-07-13,5,7,2,1,0,0,0,0
2024-07-14,6,7,2,1,0,0,0,0
2024-07-15,0,7,3,0,0,0,1,0
2024-07-16,1,7,3,0,0,0,1,0
2024-07-17,2,7,3,0,0,0,0,0
2024-07-18,3,7,3,0,0,0,0,0
2024-07-19,4,7,3,0,0,0,0,0
2024-07-20,5,7,3,1,0,0,0,0
2024-07-21,6,7,3,1,0,0,0,0
2024-07-22,0,7,4,0,0,0,0,0
2024-07-23,1,7,4,0,0,0,0,0
2024-07-24,2,7,4,0,0,0,0,0
2024-07-25,3,7,4,0,0,0,0,0
2024-07-26,4,7,4,0,0,0,0,0
2024-07-27,5,7,4,1,0,0,0,0
2024-07-28,6,7,4,1,0,0,1,0
2024-07-29,0,7,5,0,0,0,1,0
2024-07-30,1,7,5,0,0,0,1,0
2024-07-31,2,7,5,0,0,1,1,0
2024-08-01,3,8,1,0,1,0,1,0
2024-08-02,4,8,1,0,0,0,1,0
2024-08-03,5,8,1,1,0,0,1,0
2024-08-04,6,8,1,1,0,0,0,0
2024-08-05,0,8,1,0,0,0,0,0
2024-08-06,1,8,1,0,0,0,0,0
2024-08-07,2,8,1,0,0,0,0,0
2024-08-08,3,8,2,0,0,0,0,0
2024-08-09,4,8,2,0,0,0,0,0
2024-08-10,5,8,2,1,0,0,0,0
2024-08-11,6,8,2,1,0,0,0,0
2024-08-12,0,8,2,0,0,0,0,0
2024-08-13,1,8,2,0,0,0,0,0
2024-08-14,2,8,2,0,0,0,0,0
2024-08-15,3,8,3,0,0,0,1,0
2024-08-16,4,8,3,0,0,0,1,0
2024-08-17,5,8,3,1,0,0,0,0
2024-08-18,6,8,3,1,0,0,0,0
2024-08-19,0,8,3,0,0,0,0,0
2024-08-20,1,8,3,0,0,0,0,0
2024-08-21,2,8,3,0,0,0,0,0
2024-08-22,3,8,4,0,0,0,0,0
2024-08-23,4,8,4,0,0,0,0,0
2024-08-24,5,8,4,1,0,0,0,0
2024-08-25,6,8,4,1,0,0,0,0
2024-08-26,0,8,4,0,0,0,0,0
2024-08-27,1,8,4,0,0,0,0,0
2024-08-28,2,8,4,0,0,0,1,0
2024-08-29,3,8,5,0,0,0,1,0
2024-08-30,4,8,5,0,0,0,1,0
2024-08-31,5,8,5,1,0,1,1,0
2024-09-01,6,9,1,1,1,0,1,0
2024-09-02,0,9,1,0,0,0,1,0
2024-09-03,1,9,1,0,0,0,1,0
2024-09-04,2,9,1,0,0,0,0,0
2024-09-05,3,9,1,0,0,0,0,0
2024-09-06,4,9,1,0,0,0,0,0
2024-09-07,5,9,1,1,0,0,0,0
2024-09-08,6,9,2,1,0,0,0,0
2024-09-09,0,9,2,0,0,0,0,0
2024-09-10,1,9,2,0,0,0,0,0
2024-09-11,2,9,2,0,0,0,0,0
2024-09-12,3,9,2,0,0,0,0,0
2024-09-13,4,9,2,0,0,0,0,0
2024-09-14,5,9,2,1,0,0,0,0
2024-09-15,6,9,3,1,0,0,1,1
2024-09-16,0,9,3,0,0,0,1,1
2024-09-17,1,9,3,0,0,0,0,1
2024-09-18,2,9,3,0,0,0,0,0
2024-09-19,3,9,3,0,0,0,0,0
2024-09-20,4,9,3,0,0,0,0,0
2024-09-21,5,9,3,1,0,0,0,0
2024-09-22,6,9,4,1,0,0,0,0
2024-09-23,0,9,4,0,0,0,0,0
2024-09-24,1,9,4,0,0,0,0,0
2024-09-25,2,9,4,0,0,0,0,0
2024-09-26,3,9,4,0,0,0,0,0
2024-09-27,4,9,4,0,0,0,0,0
2024-09-28,5,9,4,1,0,0,1,0
2024-09-29,6,9,5,1,0,0,1,0
2024-09-30,0,9,5,0,0,1,1,0
2024-10-01,1,10,1,0,1,0,1,1
2024-10-02,2,10,1,0,0,0,1,1
2024-10-03,3,10,1,0,0,0,1,1
2024-10-04,4,10,1,0,0,0,0,1
2024-10-05,5,10,1,1,0,0,0,1
2024-10-06,6,10,1,1,0,0,0,1
2024-10-07,0,10,1,0,0,0,0,1
2024-10-08,1,10,2,0,0,0,0,0
2024-10-09,2,10,2,0,0,0,0,0
2024-10-10,3,10,2,0,0,0,0,0
2024-10-11,4,10,2,0,0,0,0,0
2024-10-12,5,10,2,1,0,0,0,0
2024-10-13,6,10,2,1,0,0,0,0
2024-10-14,0,10,2,0,0,0,0,0
2024-10-15,1,10,3,0,0,0,1,0
2024-10-16,2,10,3,0,0,0,1,0
2024-10-17,3,10,3,0,0,0,0,0
2024-10-18,4,10,3,0,0,0,0,0
2024-10-19,5,10,3,1,0,0,0,0
2024-10-20,6,10,3,1,0,0,0,0
2024-10-21,0,10,3,0,0,0,0,0
2024-10-22,1,10,4,0,0,0,0,0
2024-10-23,2,10,4,0,0,0,0,0
2024-10-24,3,10,4,0,0,0,0,0
2024-10-25,4,10,4,0,0,0,0,0
2024-10-26,5,10,4,1,0,0,0,0
2024-10-27,6,10,4,1,0,0,0,0
2024-10-28,0,10,4,0,0,0,1,0
2024-10-29,1,10,5,0,0,0,1,0
2024-10-30,2,10,5,0,0,0,1,0
2024-10-31,3,10,5,0,0,1,1,0
2024-11-01,4,11,1,0,1,0,1,0
2024-11-02,5,11,1,1,0,0,1,0
2024-11-03,6,11,1,1,0,0,1,0
2024-11-04,0,11,1,0,0,0,0,0
2024-11-05,1,11,1,0,0,0,0,0
2024-11-06,2,11,1,0,0,0,0,0
2024-11-07,3,11,1,0,0,0,0,0
2024-11-08,4,11,2,0,0,0,0,0
2024-11-09,5,11,2,1,0,0,0,0
2024-11-10,6,11,2,1,0,0,0,0
2024-11-11,0,11,2,0,0,0,0,0
2024-11-12,1,11,2,0,0,0,0,0
2024-11-13,2,11,2,0,0,0,0,0
2024-11-14,3,11,2,0,0,0,0,0
2024-11-15,4,11,3,0,0,0,1,0
2024-11-16,5,11,3,1,0,0,1,0
2024-11-17,6,11,3,1,0,0,0,0
2024-11-18,0,11,3,0,0,0,0,0
2024-11-19,1,11,3,0,0,0,0,0
2024-11-20,2,11,3,0,0,0,0,0
2024-11-21,3,11,3,0,0,0,0,0
2024-11-22,4,11,4,0,0,0,0,0
2024-11-23,5,11,4,1,0,0,0,0
2024-11-24,6,11,4,1,0,0,0,0
2024-11-25,0,11,4,0,0,0,0,0
2024-11-26,1,11,4,0,0,0,0,0
2024-11-27,2,11,4,0,0,0,0,0
2024-11-28,3,11,4,0,0,0,1,0
2024-11-29,4,11,5,0,0,0,1,0
2024-11-30,5,11,5,1,0,1,1,0
2024-12-01,6,12,1,1,1,0,1,0
2024-12-02,0,12,1,0,0,0,1,0
2024-12-03,1,12,1,0,0,0,1,0
2024-12-04,2,12,1,0,0,0,0,0
2024-12-05,3,12,1,0,0,0,0,0
2024-12-06,4,12,1,0,0,0,0,0
2024-12-07,5,12,1,1,0,0,0,0
2024-12-08,6,12,2,1,0,0,0,0
2024-12-09,0,12,2,0,0,0,0,0
2024-12-10,1,12,2,0,0,0,0,0
2024-12-11,2,12,2,0,0,0,0,0
2024-12-12,3,12,2,0,0,0,0,0
2024-12-13,4,12,2,0,0,0,0,0
2024-12-14,5,12,2,1,0,0,0,0
2024-12-15,6,12,3,1,0,0,1,0
2024-12-16,0,12,3,0,0,0,1,0
2024-12-17,1,12,3,0,0,0,0,0
2024-12-18,2,12,3,0,0,0,0,0
2024-12-19,3,12,3,0,0,0,0,0
2024-12-20,4,12,3,0,0,0,0,0
2024-12-21,5,12,3,1,0,0,0,0
2024-12-22,6,12,4,1,0,0,0,0
2024-12-23,0,12,4,0,0,0,0,0
2024-12-24,1,12,4,0,0,0,0,0
2024-12-25,2,12,4,0,0,0,0,0
2024-12-26,3,12,4,0,0,0,0,0
2024-12-27,4,12,4,0,0,0,0,0
2024-12-28,5,12,4,1,0,0,1,0
2024-12-29,6,12,5,1,0,0,1,0
2024-12-30,0,12,5,0,0,0,1,0
2024-12-31,1,12,5,0,0,1,1,0
2025-01-01,2,1,1,0,1,0,1,1
2025-01-02,3,1,1,0,0,0,1,0
2025-01-03,4,1,1,0,0,0,1,0
2025-01-04,5,1,1,1,0,0,0,0
2025-01-05,6,1,1,1,0,0,0,0
2025-01-06,0,1,1,0,0,0,0,0
2025-01-07,1,1,1,0,0,0,0,0
2025-01-08,2,1,2,0,0,0,0,0
2025-01-09,3,1,2,0,0,0,0,0
2025-01-10,4,1,2,0,0,0,0,0
2025-01-11,5,1,2,1,0,0,0,0
2025-01-12,6,1,2,1,0,0,0,0
2025-01-13,0,1,2,0,0,0,0,0
2025-01-14,1,1,2,0,0,0,0,0
2025-01-15,2,1,3,0,0,0,1,0
2025-01-16,3,1,3,0,0,0,1,0
2025-01-17,4,1,3,0,0,0,0,0
2025-01-18,5,1,3,1,0,0,0,0
2025-01-19,6,1,3,1,0,0,0,0
2025-01-20,0,1,3,0,0,0,0,0
2025-01-21,1,1,3,0,0,0,0,0
2025-01-22,2,1,4,0,0,0,0,0
2025-01-23,3,1,4,0,0,0,0,0
2025-01-24,4,1,4,0,0,0,0,0
2025-01-25,5,1,4,1,0,0,0,0
2025-01-26,6,1,4,1,0,0,0,0
2025-01-27,0,1,4,0,0,0,0,0
