date,store_id,category,orders,gmv,stockout_minutes,avg_delivery_time,refund_rate
2024-02-06,S001,beverages,47,831.6,31.61,45.08,0.0785
2024-02-07,S001,beverages,50,914.62,28.56,31.77,0.0729
2024-02-08,S001,beverages,54,1011.82,25.72,29.68,0.0709
2024-02-09,S001,beverages,48,876.86,29.43,32.41,0.0668
2024-02-10,S001,beverages,74,1371.27,28.19,43.65,0.0694
2024-02-11,S001,beverages,70,1237.49,31.74,34.4,0.0782
2024-02-12,S001,beverages,61,1060.66,28.11,41.09,0.0735
2024-02-13,S001,beverages,92,1490.07,19.01,33.07,0.0776
2024-02-14,S001,beverages,65,1096.41,18.21,48.65,0.0632
2024-02-15,S001,beverages,54,912.05,35.12,41.16,0.0821
2024-02-16,S001,beverages,56,968.82,10.35,37.55,0.0572
2024-02-17,S001,beverages,67,1209.59,12.6,34.64,0.0732
2024-02-18,S001,beverages,60,1076.02,29.98,38.0,0.0708
2024-02-19,S001,beverages,61,1145.34,15.1,34.1,0.0681
2024-02-20,S001,beverages,55,960.93,20.6,28.47,0.0515
2024-02-21,S001,beverages,77,1128.07,16.11,37.13,0.0625
2024-02-22,S001,beverages,53,885.51,11.0,34.44,0.0451
2024-02-23,S001,beverages,54,968.43,23.19,35.65,0.074
2024-02-24,S001,beverages,56,960.74,15.3,36.68,0.0642
2024-02-25,S001,beverages,82,1519.56,12.6,32.26,0.0533
2024-02-26,S001,beverages,54,995.42,23.66,33.22,0.0701
2024-02-27,S001,beverages,54,952.26,14.31,33.47,0.0666
2024-02-28,S001,beverages,59,1099.89,24.88,41.65,0.0783
2024-02-29,S001,beverages,83,1325.61,9.15,28.24,0.0541
2024-03-01,S001,beverages,65,1221.22,17.62,22.09,0.0639
2024-03-02,S001,beverages,68,1225.3,23.17,34.67,0.0555
2024-03-03,S001,beverages,75,1288.65,11.55,37.75,0.0763
2024-03-04,S001,beverages,43,806.6,37.48,32.69,0.0854
2024-03-05,S001,beverages,55,1019.6,29.64,35.6,0.0819
2024-03-06,S001,beverages,53,1003.77,30.0,32.38,0.0772
2024-03-07,S001,beverages,60,976.66,21.21,28.38,0.0735
2024-03-08,S001,beverages,52,943.35,21.9,35.59,0.0787
2024-03-09,S001,beverages,66,1302.22,18.19,29.67,0.0679
2024-03-10,S001,beverages,66,1287.81,27.29,29.44,0.0739
2024-03-11,S001,beverages,51,845.46,25.13,36.22,0.0738
2024-03-12,S001,beverages,59,1051.1,36.07,32.14,0.0848
2024-03-13,S001,beverages,55,897.25,32.17,31.46,0.0707
2024-03-14,S001,beverages,57,1059.22,17.95,36.04,0.0762
2024-03-15,S001,beverages,59,1003.87,26.55,27.49,0.0901
2024-03-16,S001,beverages,71,1327.27,17.5,28.05,0.0814
2024-03-17,S001,beverages,70,1031.01,4.3,25.93,0.0578
2024-03-18,S001,beverages,93,1398.22,14.95,36.3,0.0651
2024-03-19,S001,beverages,52,886.37,24.07,34.1,0.0823
2024-03-20,S001,beverages,64,1046.09,28.89,28.25,0.0645
2024-03-21,S001,beverages,57,1082.61,10.97,30.01,0.0623
2024-03-22,S001,beverages,60,1177.5,7.96,33.3,0.0707
2024-03-23,S001,beverages,99,1665.6,14.64,26.48,0.0729
2024-03-24,S001,beverages,74,1299.67,15.55,28.21,0.0485
2024-03-25,S001,beverages,59,1013.55,20.62,29.57,0.0762
2024-03-26,S001,beverages,55,1047.83,20.52,36.5,0.0684
2024-03-27,S001,beverages,55,999.99,23.65,35.81,0.0794
2024-03-28,S001,beverages,73,1390.6,14.82,26.62,0.0591
2024-03-29,S001,beverages,61,1062.75,22.01,39.42,0.0766
2024-03-30,S001,beverages,77,1370.75,0.0,31.81,0.0674
2024-03-31,S001,beverages,73,1190.56,30.93,32.85,0.0644
2024-04-01,S001,beverages,63,1249.21,1.21,32.98,0.0614
2024-04-02,S001,beverages,70,1324.55,11.14,25.32,0.042
2024-04-03,S001,beverages,66,1130.23,11.44,26.46,0.0723
2024-04-04,S001,beverages,68,1320.98,38.68,35.52,0.0846
2024-04-05,S001,beverages,76,1380.45,22.43,35.67,0.0846
2024-04-06,S001,beverages,98,1711.0,23.94,25.34,0.0512
2024-04-07,S001,beverages,61,1035.83,23.74,37.88,0.0582
2024-04-08,S001,beverages,51,995.22,11.19,44.08,0.0551
2024-04-09,S001,beverages,64,1141.42,25.52,24.97,0.0563
2024-04-10,S001,beverages,57,913.19,31.9,33.15,0.0729
2024-04-11,S001,beverages,53,1037.26,40.57,31.77,0.0551
2024-04-12,S001,beverages,66,1170.95,13.07,31.24,0.064
2024-04-13,S001,beverages,60,1019.35,7.11,29.65,0.0408
2024-04-14,S001,beverages,72,1272.55,7.98,28.93,0.0521
2024-04-15,S001,beverages,55,1018.26,32.73,27.6,0.0674
2024-04-16,S001,beverages,60,987.91,18.86,30.76,0.0602
2024-04-17,S001,beverages,65,1201.95,26.85,45.22,0.0888
2024-04-18,S001,beverages,54,957.89,14.9,28.64,0.073
2024-04-19,S001,beverages,49,801.63,15.98,34.09,0.0734
2024-04-20,S001,beverages,56,1000.31,16.7,39.51,0.0655
2024-04-21,S001,beverages,64,1171.26,15.0,31.34,0.0581
2024-04-22,S001,beverages,53,1006.85,18.77,28.8,0.0927
2024-04-23,S001,beverages,52,1057.09,24.11,34.65,0.0541
2024-04-24,S001,beverages,58,1060.59,31.81,37.66,0.0656
2024-04-25,S001,beverages,45,818.61,18.9,35.14,0.0775
2024-04-26,S001,beverages,53,1052.99,16.7,31.92,0.0807
2024-04-27,S001,beverages,64,1086.48,9.83,28.9,0.0373
2024-04-28,S001,beverages,70,1372.23,13.96,26.65,0.0538
2024-04-29,S001,beverages,61,1143.75,29.84,28.56,0.0645
2024-04-30,S001,beverages,57,988.29,7.61,30.1,0.0614
2024-05-01,S001,beverages,65,1128.88,10.83,29.06,0.0559
2024-05-02,S001,beverages,69,1165.66,18.83,31.64,0.0604
2024-05-03,S001,beverages,68,1244.78,19.96,36.73,0.0796
2024-05-04,S001,beverages,69,1200.98,7.89,25.63,0.0627
2024-05-05,S001,beverages,83,1441.12,10.68,33.96,0.0646
2024-05-06,S001,beverages,56,1104.08,16.67,26.44,0.0794
2024-05-07,S001,beverages,58,1011.26,12.05,24.17,0.0522
2024-05-08,S001,beverages,54,967.63,5.95,30.55,0.0489
2024-05-09,S001,beverages,45,828.88,29.76,35.07,0.068
2024-05-10,S001,beverages,56,1053.21,14.96,35.24,0.0665
2024-05-11,S001,beverages,79,1275.05,20.53,26.21,0.0609
2024-05-12,S001,beverages,58,1068.07,9.73,30.63,0.0492
2024-05-13,S001,beverages,53,859.45,19.38,31.38,0.0665
2024-05-14,S001,beverages,54,937.54,16.79,31.51,0.0516
2024-05-15,S001,beverages,53,956.81,8.69,37.75,0.0647
2024-05-16,S001,beverages,61,1101.83,10.88,33.21,0.0412
2024-05-17,S001,beverages,58,1009.54,16.93,22.26,0.046
2024-05-18,S001,beverages,57,984.45,11.43,32.96,0.0691
2024-05-19,S001,beverages,63,1157.01,20.02,29.03,0.075
2024-05-20,S001,beverages,47,926.27,20.41,30.89,0.067
2024-05-21,S001,beverages,54,967.01,9.49,28.72,0.0611
2024-05-22,S001,beverages,52,954.18,18.44,29.31,0.0669
2024-05-23,S001,beverages,53,928.81,11.56,30.16,0.0453
2024-05-24,S001,beverages,76,1245.53,11.75,33.48,0.094
2024-05-25,S001,beverages,61,943.23,35.55,29.75,0.056
2024-05-26,S001,beverages,61,1130.23,14.01,29.91,0.0844
2024-05-27,S001,beverages,56,1044.82,21.13,38.21,0.0635
2024-05-28,S001,beverages,61,1128.72,24.12,27.83,0.0715
2024-05-29,S001,beverages,57,1080.76,18.52,33.04,0.0662
2024-05-30,S001,beverages,55,1017.54,7.48,26.79,0.0667
2024-05-31,S001,beverages,54,1043.42,16.4,24.01,0.0704
2024-06-01,S001,beverages,60,1019.13,3.72,26.43,0.067
2024-06-02,S001,beverages,105,1541.9,11.11,34.87,0.0597
2024-06-03,S001,beverages,56,990.02,1.96,28.26,0.0575
2024-06-04,S001,beverages,56,975.9,24.38,32.13,0.0672
2024-06-05,S001,beverages,50,870.38,20.46,28.98,0.0643
2024-06-06,S001,beverages,50,863.71,24.88,31.71,0.0645
2024-06-07,S001,beverages,55,964.87,27.39,35.48,0.07
2024-06-08,S001,beverages,51,926.87,21.68,35.01,0.0595
2024-06-09,S001,beverages,58,1100.56,11.6,26.85,0.0626
2024-06-10,S001,beverages,86,1405.36,21.27,24.71,0.0711
2024-06-11,S001,beverages,53,924.2,19.16,28.58,0.0703
2024-06-12,S001,beverages,52,939.78,0.18,33.64,0.053
2024-06-13,S001,beverages,50,863.21,19.0,35.48,0.0619
2024-06-14,S001,beverages,53,988.28,13.74,37.73,0.0592
2024-06-15,S001,beverages,57,1067.94,21.34,28.44,0.0553
2024-06-16,S001,beverages,59,1171.79,30.59,34.98,0.0621
2024-06-17,S001,beverages,48,869.01,23.34,33.27,0.0672
2024-06-18,S001,beverages,51,896.56,12.34,34.34,0.0624
2024-06-19,S001,beverages,46,778.34,13.68,31.84,0.0722
2024-06-20,S001,beverages,50,826.56,12.49,29.32,0.0535
2024-06-21,S001,beverages,44,836.55,6.36,37.15,0.0737
2024-06-22,S001,beverages,54,958.97,0.0,34.5,0.054
2024-06-23,S001,beverages,59,1164.07,13.43,39.64,0.0686
2024-06-24,S001,beverages,48,874.54,13.89,25.92,0.0544
2024-06-25,S001,beverages,48,913.24,26.92,34.11,0.0708
2024-06-26,S001,beverages,47,896.92,32.31,33.71,0.0691
2024-06-27,S001,beverages,54,1012.4,4.54,35.54,0.0693
2024-06-28,S001,beverages,52,1055.13,23.93,30.96,0.0695
2024-06-29,S001,beverages,63,1071.89,4.01,29.87,0.0511
2024-06-30,S001,beverages,68,1135.63,15.31,34.18,0.0785
2024-07-01,S001,beverages,53,832.61,14.17,28.42,0.0731
2024-07-02,S001,beverages,51,761.01,14.21,26.61,0.0721
2024-07-03,S001,beverages,55,970.28,26.42,39.77,0.0769
2024-07-04,S001,beverages,74,1161.65,20.72,26.64,0.0735
2024-07-05,S001,beverages,47,846.47,39.44,32.41,0.0765
2024-07-06,S001,beverages,58,1000.5,14.77,29.59,0.0679
2024-07-07,S001,beverages,57,1025.48,24.33,32.56,0.0578
2024-07-08,S001,beverages,43,799.35,9.48,36.97,0.0635
2024-07-09,S001,beverages,43,841.35,5.43,35.81,0.0561
2024-07-10,S001,beverages,54,913.78,10.41,30.03,0.0639
2024-07-11,S001,beverages,41,769.29,24.71,34.62,0.0826
2024-07-12,S001,beverages,48,825.39,12.47,38.08,0.0613
2024-07-13,S001,beverages,51,987.83,22.36,37.54,0.0642
2024-07-14,S001,beverages,45,819.64,14.33,42.4,0.0624
2024-07-15,S001,beverages,49,893.41,29.58,38.03,0.0745
2024-07-16,S001,beverages,39,717.14,32.72,42.24,0.0916
2024-07-17,S001,beverages,45,773.61,15.0,34.71,0.0532
2024-07-18,S001,beverages,42,776.32,22.62,33.77,0.0634
2024-07-19,S001,beverages,59,919.39,27.79,29.94,0.0705
2024-07-20,S001,beverages,57,951.71,5.27,26.42,0.0598
2024-07-21,S001,beverages,84,1354.36,23.55,27.39,0.0579
2024-07-22,S001,beverages,45,887.2,31.17,40.38,0.0792
2024-07-23,S001,beverages,48,883.22,40.77,35.39,0.0705
2024-07-24,S001,beverages,63,886.42,34.17,39.58,0.079
2024-07-25,S001,beverages,56,1069.53,19.11,31.43,0.0546
2024-07-26,S001,beverages,41,737.48,16.7,39.21,0.0711
2024-07-27,S001,beverages,47,832.12,20.54,36.19,0.0956
2024-07-28,S001,beverages,50,918.04,34.57,38.76,0.0953
2024-07-29,S001,beverages,44,804.35,16.86,37.52,0.0639
2024-07-30,S001,beverages,43,819.43,38.89,36.24,0.0771
2024-07-31,S001,beverages,43,725.48,16.56,36.46,0.077
2024-08-01,S001,beverages,60,1134.74,15.78,32.35,0.0675
2024-08-02,S001,beverages,58,1077.77,32.1,27.6,0.0694
2024-08-03,S001,beverages,70,1301.05,35.76,44.24,0.0865
2024-08-04,S001,beverages,57,1082.79,26.02,31.21,0.0638
2024-08-05,S001,beverages,38,638.46,28.05,31.52,0.0743
2024-08-06,S001,beverages,42,817.36,33.01,39.2,0.0738
2024-08-07,S001,beverages,64,1137.16,31.43,42.78,0.0851
2024-08-08,S001,beverages,57,1059.76,33.55,42.91,0.0728
2024-08-09,S001,beverages,46,838.27,42.48,38.3,0.0798
2024-08-10,S001,beverages,49,946.98,21.6,37.5,0.0687
2024-08-11,S001,beverages,51,938.15,24.38,33.31,0.0713
2024-08-12,S001,beverages,47,862.15,32.24,41.04,0.0636
2024-08-13,S001,beverages,74,1231.59,46.11,34.36,0.0783
2024-08-14,S001,beverages,64,1029.2,24.76,35.16,0.0719
2024-08-15,S001,beverages,55,963.89,19.43,39.34,0.08
2024-08-16,S001,beverages,49,831.71,26.02,36.57,0.0641
2024-08-17,S001,beverages,51,831.15,30.31,44.21,0.0796
2024-08-18,S001,beverages,52,875.42,27.97,38.59,0.0747
2024-08-19,S001,beverages,46,782.35,33.13,38.58,0.0789
2024-08-20,S001,beverages,45,790.5,29.97,35.9,0.0708
2024-08-21,S001,beverages,50,873.7,26.81,38.51,0.0776
2024-08-22,S001,beverages,70,1027.76,17.2,36.41,0.0551
2024-08-23,S001,beverages,39,616.86,32.74,35.55,0.0809
2024-08-24,S001,beverages,42,738.81,32.94,47.44,0.0713
2024-08-25,S001,beverages,46,824.39,34.7,38.45,0.0759
2024-08-26,S001,beverages,41,667.32,32.05,,0.0857
2024-08-27,S001,beverages,46,786.98,38.24,35.04,0.0718
2024-08-28,S001,beverages,47,812.92,42.52,37.06,0.0742
2024-08-29,S001,beverages,45,848.85,29.01,34.98,0.0631
2024-08-30,S001,beverages,42,717.66,36.49,44.26,0.062
2024-08-31,S001,beverages,55,934.78,16.89,43.46,0.0589
2024-09-01,S001,beverages,62,1111.29,34.98,32.51,0.0741
2024-09-02,S001,beverages,40,676.54,35.61,41.29,0.0711
2024-09-03,S001,beverages,45,729.9,32.89,28.85,0.0651
2024-09-04,S001,beverages,36,671.62,50.47,47.57,0.0983
2024-09-05,S001,beverages,43,714.66,31.56,41.89,0.0712
2024-09-06,S001,beverages,44,911.0,28.79,33.13,0.0816
2024-09-07,S001,beverages,71,1231.29,33.69,38.91,0.1086
2024-09-08,S001,beverages,70,1158.79,29.07,35.6,0.0724
2024-09-09,S001,beverages,43,828.13,45.21,47.6,0.0768
2024-09-10,S001,beverages,37,660.34,34.2,45.16,0.103
2024-09-11,S001,beverages,41,694.26,30.07,40.6,0.0606
2024-09-12,S001,beverages,46,841.72,35.13,38.31,0.0822
2024-09-13,S001,beverages,41,741.56,45.56,33.79,0.0889
2024-09-14,S001,beverages,73,1165.41,34.28,33.6,0.0715
2024-09-15,S001,beverages,56,1061.54,46.66,48.03,0.0837
2024-09-16,S001,beverages,49,938.84,58.43,40.57,0.0866
2024-09-17,S001,beverages,54,1018.37,26.46,37.21,0.0776
2024-09-18,S001,beverages,41,723.6,32.77,30.86,0.078
2024-09-19,S001,beverages,58,897.92,43.31,45.18,0.087
2024-09-20,S001,beverages,36,625.61,39.48,44.98,0.0865
2024-09-21,S001,beverages,45,670.61,30.19,42.09,0.0684
2024-09-22,S001,beverages,42,802.4,38.64,41.9,0.0935
2024-09-23,S001,beverages,32,550.81,42.63,43.82,0.0859
2024-09-24,S001,beverages,44,747.97,42.21,40.05,0.0885
2024-09-25,S001,beverages,55,932.61,38.6,41.85,0.0902
2024-09-26,S001,beverages,40,691.78,28.69,46.44,0.096
2024-09-27,S001,beverages,40,673.99,46.13,35.17,0.1033
2024-09-28,S001,beverages,76,1094.36,41.68,42.52,0.0709
2024-09-29,S001,beverages,49,807.93,44.24,38.17,0.0859
2024-09-30,S001,beverages,44,787.8,46.73,37.79,0.0765
2024-10-01,S001,beverages,46,825.08,36.24,50.51,0.1001
2024-10-02,S001,beverages,52,895.68,44.98,46.24,0.0968
2024-10-03,S001,beverages,54,1052.86,21.81,40.58,0.0518
2024-10-04,S001,beverages,54,937.34,34.92,38.13,0.0811
2024-10-05,S001,beverages,58,1003.94,35.84,38.17,0.0971
2024-10-06,S001,beverages,53,987.35,39.74,44.27,0.0834
2024-10-07,S001,beverages,48,867.46,36.34,36.9,0.0848
2024-10-08,S001,beverages,39,685.77,45.12,39.82,0.093
2024-10-09,S001,beverages,71,1037.48,48.17,39.47,0.0831
2024-10-10,S001,beverages,38,725.59,49.74,36.98,0.0921
2024-10-11,S001,beverages,46,757.15,35.19,39.33,0.0865
2024-10-12,S001,beverages,48,904.87,37.7,41.56,0.082
2024-10-13,S001,beverages,54,992.06,46.59,32.14,0.0795
2024-10-14,S001,beverages,36,631.2,42.38,40.67,0.08
2024-10-15,S001,beverages,46,800.94,38.48,42.81,0.0848
2024-10-16,S001,beverages,48,814.98,38.44,41.65,0.0829
2024-10-17,S001,beverages,34,572.99,53.78,39.41,0.0676
2024-10-18,S001,beverages,45,851.66,43.73,37.15,0.0939
2024-10-19,S001,beverages,47,852.79,48.25,42.2,0.08
2024-10-20,S001,beverages,52,973.62,29.96,40.06,0.0854
2024-10-21,S001,beverages,36,619.22,25.35,45.57,0.0637
2024-10-22,S001,beverages,39,667.86,52.26,43.63,0.0807
2024-10-23,S001,beverages,44,732.98,50.24,33.27,0.084
2024-10-24,S001,beverages,51,923.03,25.84,35.84,0.0796
2024-10-25,S001,beverages,41,698.94,41.42,35.22,0.0691
2024-10-26,S001,beverages,44,823.52,45.58,37.3,0.0805
2024-10-27,S001,beverages,45,789.18,52.57,34.34,0.1004
2024-10-28,S001,beverages,41,659.65,38.18,43.83,0.0907
2024-10-29,S001,beverages,50,852.81,51.78,34.83,0.0782
2024-10-30,S001,beverages,47,835.94,45.26,36.55,0.0921
2024-10-31,S001,beverages,41,781.82,48.99,38.73,0.0723
2024-11-01,S001,beverages,50,859.14,41.79,39.25,0.0886
2024-11-02,S001,beverages,58,1025.98,31.02,45.62,0.093
2024-11-03,S001,beverages,58,1044.42,45.71,43.43,0.0789
2024-11-04,S001,beverages,59,1012.32,28.13,40.76,0.0668
2024-11-05,S001,beverages,54,1005.62,49.74,36.83,0.0919
2024-11-06,S001,beverages,51,889.9,28.51,36.06,0.0575
2024-11-07,S001,beverages,42,764.26,37.75,45.33,0.0928
2024-11-08,S001,beverages,45,879.73,40.34,42.81,0.0883
2024-11-09,S001,beverages,60,1078.15,32.9,35.37,0.0804
2024-11-10,S001,beverages,44,721.7,34.09,41.45,0.0842
2024-11-11,S001,beverages,46,814.54,38.22,47.07,0.0841
2024-11-12,S001,beverages,48,851.9,45.02,39.61,0.0898
2024-11-13,S001,beverages,50,889.72,44.51,40.42,0.0901
2024-11-14,S001,beverages,46,845.24,37.78,42.25,0.0867
2024-11-15,S001,beverages,53,901.28,40.29,43.47,0.0907
2024-11-16,S001,beverages,67,1135.17,27.04,35.44,0.0669
2024-11-17,S001,beverages,46,877.73,38.7,45.96,0.0976
2024-11-18,S001,beverages,47,733.47,33.71,47.84,0.0997
2024-11-19,S001,beverages,46,844.03,55.22,42.64,0.0944
2024-11-20,S001,beverages,45,832.58,60.47,43.85,0.0999
2024-11-21,S001,beverages,38,661.56,42.19,42.54,0.0894
2024-11-22,S001,beverages,45,778.7,38.25,49.88,0.1009
2024-11-23,S001,beverages,51,812.45,38.7,42.02,0.0967
2024-11-24,S001,beverages,57,1069.17,49.0,36.65,0.079
2024-11-25,S001,beverages,45,791.73,54.33,39.38,0.1036
2024-11-26,S001,beverages,49,808.33,46.03,40.17,0.0987
2024-11-27,S001,beverages,46,748.34,38.56,36.86,0.0718
2024-11-28,S001,beverages,46,726.44,49.7,45.21,0.1068
2024-11-29,S001,beverages,49,952.23,30.38,38.8,0.0835
2024-11-30,S001,beverages,72,1276.57,53.41,30.51,0.1044
2024-12-01,S001,beverages,62,1094.87,32.14,34.19,0.0722
2024-12-02,S001,beverages,53,1008.2,48.39,39.38,0.0834
2024-12-03,S001,beverages,50,909.5,45.47,41.86,0.0954
2024-12-04,S001,beverages,44,865.45,34.27,44.6,0.0845
2024-12-05,S001,beverages,50,859.99,37.63,37.95,0.0832
2024-12-06,S001,beverages,53,964.27,28.02,40.71,0.0681
2024-12-07,S001,beverages,80,1433.97,33.87,37.43,0.0787
2024-12-08,S001,beverages,87,1406.51,43.78,35.35,0.0994
2024-12-09,S001,beverages,45,843.56,34.2,43.16,0.0903
2024-12-10,S001,beverages,46,847.07,37.76,46.03,0.0799
2024-12-11,S001,beverages,53,910.83,43.86,29.08,0.0771
2024-12-12,S001,beverages,53,907.08,28.32,38.87,0.0681
2024-12-13,S001,beverages,41,784.95,35.44,43.97,0.0929
2024-12-14,S001,beverages,69,1185.84,36.28,36.42,0.0681
2024-12-15,S001,beverages,57,989.66,18.84,42.51,0.0694
2024-12-16,S001,beverages,54,1037.32,44.21,40.43,0.093
2024-12-17,S001,beverages,53,941.1,33.84,43.69,0.081
2024-12-18,S001,beverages,58,966.9,22.62,39.31,0.0782
2024-12-19,S001,beverages,69,1241.59,35.57,32.87,0.0959
2024-12-20,S001,beverages,64,1127.97,40.07,44.46,0.0911
2024-12-21,S001,beverages,58,1016.39,38.24,42.31,0.0809
2024-12-22,S001,beverages,60,1139.01,42.59,35.34,0.0662
2024-12-23,S001,beverages,48,850.76,43.4,33.21,0.0653
2024-12-24,S001,beverages,51,941.81,40.53,34.1,0.1014
2024-12-25,S001,beverages,64,1110.81,36.6,33.91,0.0629
2024-12-26,S001,beverages,51,949.52,31.08,37.68,0.096
2024-12-27,S001,beverages,57,1124.0,41.61,40.22,0.0866
2024-12-28,S001,beverages,65,1261.1,20.28,29.72,0.0817
2024-12-29,S001,beverages,93,1662.23,30.7,32.86,0.0534
2024-12-30,S001,beverages,63,1170.32,47.43,36.09,0.0828
2024-01-01,S001,snacks,59,853.56,32.4,41.77,0.0939
2024-01-02,S001,snacks,47,745.5,47.5,39.32,0.0769
2024-01-03,S001,snacks,47,648.92,28.99,42.89,0.0785
2024-01-04,S001,snacks,42,648.68,33.69,38.12,0.0761
2024-01-05,S001,snacks,61,800.95,34.98,38.07,0.0854
2024-01-06,S001,snacks,51,732.2,36.69,33.18,0.0873
2024-01-07,S001,snacks,53,771.12,35.94,36.08,0.0833
2024-01-08,S001,snacks,49,654.68,20.13,29.98,0.053
2024-01-09,S001,snacks,46,785.16,24.68,41.31,0.0756
2024-01-10,S001,snacks,43,637.09,24.69,33.87,0.0662
2024-01-11,S001,snacks,45,686.18,27.68,41.78,0.0744
2024-01-12,S001,snacks,45,685.75,38.8,38.37,0.0689
2024-01-13,S001,snacks,45,654.51,43.26,42.43,0.0757
2024-01-14,S001,snacks,74,990.87,23.15,38.61,0.085
2024-01-15,S001,snacks,73,923.39,34.5,38.3,0.0733
2024-01-16,S001,snacks,49,744.93,37.51,42.71,0.0925
2024-01-17,S001,snacks,43,651.7,38.95,34.08,0.0865
2024-01-18,S001,snacks,47,709.61,35.85,33.7,0.0735
2024-01-19,S001,snacks,44,693.74,36.93,40.22,0.0895
2024-01-20,S001,snacks,49,733.26,24.8,38.81,0.0573
2024-01-21,S001,snacks,59,962.92,18.58,25.33,0.058
2024-01-22,S001,snacks,48,789.51,47.34,36.2,0.0749
2024-01-23,S001,snacks,54,801.25,6.09,29.44,0.0607
2024-01-24,S001,snacks,46,649.58,22.94,34.49,0.0705
2024-01-25,S001,snacks,56,919.49,16.63,30.96,0.0597
2024-01-26,S001,snacks,43,597.17,38.98,32.99,0.0879
2024-01-27,S001,snacks,57,842.18,23.31,32.71,0.072
2024-01-28,S001,snacks,61,948.32,41.93,29.6,0.0652
2024-01-29,S001,snacks,55,843.47,19.42,36.3,0.0552
2024-01-30,S001,snacks,75,1013.49,28.63,37.42,0.0878
2024-01-31,S001,snacks,51,785.73,34.09,43.11,0.0872
2024-02-01,S001,snacks,49,732.21,19.53,28.66,0.0528
2024-02-02,S001,snacks,63,925.85,29.67,45.02,0.0941
2024-02-03,S001,snacks,56,941.33,31.58,33.17,0.0817
2024-02-04,S001,snacks,57,802.71,15.32,29.57,0.0672
2024-02-05,S001,snacks,50,782.92,26.05,37.24,0.0677
2024-02-06,S001,snacks,54,720.13,26.04,35.84,0.0498
2024-02-07,S001,snacks,49,724.25,25.38,31.55,0.0752
2024-02-08,S001,snacks,45,714.26,17.88,35.51,0.062
2024-02-09,S001,snacks,44,744.78,12.02,31.76,0.0549
2024-02-10,S001,snacks,97,1375.91,23.4,36.74,0.0852
2024-02-11,S001,snacks,61,869.29,18.82,36.47,0.0642
2024-02-12,S001,snacks,57,865.14,14.34,32.05,0.0465
2024-02-13,S001,snacks,57,818.63,19.62,29.89,0.0738
2024-02-14,S001,snacks,59,842.1,37.22,38.11,0.0797
2024-02-15,S001,snacks,50,791.04,30.54,36.36,0.075
2024-02-16,S001,snacks,82,1174.79,21.71,32.55,0.0711
2024-02-17,S001,snacks,59,763.08,9.07,34.48,0.07
2024-02-18,S001,snacks,83,1084.71,26.07,39.84,0.0646
2024-02-19,S001,snacks,42,668.78,37.4,36.42,0.088
2024-02-20,S001,snacks,55,801.23,24.56,29.4,0.0707
2024-02-21,S001,snacks,52,839.74,22.69,24.31,0.0727
2024-02-22,S001,snacks,56,764.76,13.75,35.33,0.0645
