date,store_id,category,campaign_id,promo_type,promo_depth,coupon_flag
2024-06-16,S001,snacks,C2698,coupon,0.144,0
2024-06-22,S001,snacks,C4066,discount,0.05,0
2024-07-02,S001,snacks,C6115,free_delivery,0.148,0
2024-07-03,S001,snacks,C4827,discount,0.07,1
2024-07-07,S001,snacks,C8847,coupon,0.17,1
2024-07-16,S001,snacks,C8426,free_delivery,0.12,1
2024-07-27,S001,snacks,C7282,discount,0.213,1
2024-08-04,S001,snacks,C7354,free_delivery,0.209,0
2024-08-14,S001,snacks,C1499,coupon,0.208,0
2024-08-20,S001,snacks,C8375,coupon,0.404,1
2024-08-24,S001,snacks,C7390,discount,0.158,0
2024-09-04,S001,snacks,C8977,discount,0.159,0
2024-09-11,S001,snacks,C6601,discount,0.264,1
2024-09-13,S001,snacks,C7746,coupon,0.152,0
2024-09-23,S001,snacks,C1105,discount,0.201,1
2024-09-29,S001,snacks,C1735,coupon,0.129,0
2024-10-04,S001,snacks,C7158,discount,0.213,0
2024-10-06,S001,snacks,C1240,free_delivery,0.159,1
2024-10-14,S001,snacks,C9057,discount,0.148,0
2024-10-16,S001,snacks,C8737,discount,0.123,0
2024-10-21,S001,snacks,C9785,discount,0.164,0
2024-10-22,S001,snacks,C8747,bundle,0.196,0
2024-10-24,S001,snacks,C2885,bundle,0.067,1
2024-10-26,S001,snacks,C1535,bundle,0.243,0
2024-10-27,S001,snacks,C4010,bundle,0.299,0
2024-11-04,S001,snacks,C4850,bundle,0.218,1
2024-11-23,S001,snacks,C7153,discount,0.212,0
2024-12-02,S001,snacks,C4007,discount,0.195,1
2024-12-10,S001,snacks,C2449,discount,0.165,0
2024-12-12,S001,snacks,C8638,coupon,0.199,1
2024-12-13,S001,snacks,C6923,coupon,0.206,0
2024-12-15,S001,snacks,C1712,discount,0.165,1
2025-01-07,S001,snacks,C1884,coupon,0.136,1
2024-01-09,S001,fresh,C4645,discount,0.106,0
2024-02-12,S001,fresh,C9878,discount,0.242,0
2024-02-17,S001,fresh,C1857,coupon,0.11,1
2024-02-18,S001,fresh,C7771,coupon,0.221,0
2024-03-23,S001,fresh,C1468,discount,0.145,1
2024-03-26,S001,fresh,C6565,discount,0.185,1
2024-03-29,S001,fresh,C3004,discount,0.309,1
2024-03-31,S001,fresh,C1295,coupon,0.143,0
2024-04-01,S001,fresh,C5770,coupon,0.118,0
2024-05-01,S001,fresh,C9658,bundle,0.282,0
2024-05-18,S001,fresh,C5079,free_delivery,0.233,0
2024-05-25,S001,fresh,C8690,discount,0.116,0
2024-06-11,S001,fresh,C2135,coupon,0.248,1
2024-06-15,S001,fresh,C2632,coupon,0.145,0
2024-06-23,S001,fresh,C1437,coupon,0.201,0
2024-06-25,S001,fresh,C7193,discount,0.186,1
2024-08-18,S001,fresh,C2473,free_delivery,0.162,0
2024-09-08,S001,fresh,C9828,discount,0.195,0
2024-09-14,S001,fresh,C5218,discount,0.134,0
2024-09-21,S001,fresh,C9265,bundle,0.05,0
2024-10-02,S001,fresh,C4643,free_delivery,0.139,1
2024-10-03,S001,fresh,C3855,free_delivery,0.256,1
2024-10-07,S001,fresh,C9989,coupon,0.053,0
2024-10-21,S001,fresh,C7190,free_delivery,0.142,1
2024-11-19,S001,fresh,C8234,coupon,0.087,0
2024-12-01,S001,fresh,C7374,coupon,0.359,1
2024-12-18,S001,fresh,C6530,coupon,0.213,0
2025-01-20,S001,fresh,C1941,bundle,0.252,0
2025-01-21,S001,fresh,C4679,free_delivery,0.212,0
2024-01-01,S001,household,C1150,discount,0.065,1
2024-01-23,S001,household,C6655,discount,0.156,1
2024-02-14,S001,household,C1561,free_delivery,0.132,1
2024-02-25,S001,household,C7071,coupon,0.179,0
2024-03-17,S001,household,C8827,bundle,0.196,1
2024-03-20,S001,household,C2134,discount,0.17,0
2024-03-28,S001,household,C1473,free_delivery,0.102,1
2024-04-05,S001,household,C2289,free_delivery,0.082,1
2024-04-19,S001,household,C4698,discount,0.206,0
2024-06-17,S001,household,C2820,coupon,0.235,0
2024-06-27,S001,household,C6842,discount,0.091,0
2024-07-13,S001,household,C2637,discount,0.181,1
2024-08-03,S001,household,C8964,discount,0.15,1
2024-08-05,S001,household,C6737,discount,0.188,0
2024-08-16,S001,household,C8234,discount,0.128,0
2024-09-07,S001,household,C5900,bundle,0.198,1
2024-09-14,S001,household,C6310,coupon,0.201,0
2024-09-27,S001,household,C6371,discount,0.306,0
2024-10-05,S001,household,C2374,free_delivery,0.125,1
2024-10-10,S001,household,C3184,discount,0.189,0
2024-10-24,S001,household,C7674,discount,0.138,0
2024-11-10,S001,household,C6902,discount,0.217,1
2024-12-15,S001,household,C4773,coupon,0.206,0
2024-01-01,S001,ready_to_eat,C5231,coupon,0.191,0
2024-01-14,S001,ready_to_eat,C6852,discount,0.225,1
2024-01-26,S001,ready_to_eat,C7846,coupon,0.239,0
2024-02-02,S001,ready_to_eat,C1314,discount,0.131,0
2024-02-04,S001,ready_to_eat,C6900,discount,0.056,0
2024-03-11,S001,ready_to_eat,C7238,free_delivery,0.094,1
2024-03-17,S001,ready_to_eat,C1226,discount,0.081,0
2024-03-28,S001,ready_to_eat,C7259,discount,0.112,1
2024-03-30,S001,ready_to_eat,C8657,coupon,0.155,0
2024-04-14,S001,ready_to_eat,C6016,discount,0.239,1
2024-04-16,S001,ready_to_eat,C5950,discount,0.202,0
2024-05-01,S001,ready_to_eat,C8914,coupon,0.256,0
2024-05-05,S001,ready_to_eat,C2742,discount,0.19,1
2024-05-12,S001,ready_to_eat,C8802,discount,0.068,0
2024-05-18,S001,ready_to_eat,C3389,coupon,0.212,0
2024-05-25,S001,ready_to_eat,C3585,discount,0.178,0
2024-06-06,S001,ready_to_eat,C2410,coupon,0.237,0
2024-06-11,S001,ready_to_eat,C3072,bundle,0.24,0
2024-06-22,S001,ready_to_eat,C1696,discount,0.209,1
2024-07-27,S001,ready_to_eat,C3804,discount,0.124,0
2024-08-08,S001,ready_to_eat,C5567,coupon,0.219,1
2024-08-31,S001,ready_to_eat,C5910,coupon,0.221,1
2024-09-13,S001,ready_to_eat,C3159,discount,0.168,1
2024-09-16,S001,ready_to_eat,C8787,coupon,0.14,1
2024-09-17,S001,ready_to_eat,C1625,bundle,0.09,1
2024-09-20,S001,ready_to_eat,C2684,discount,0.069,0
2024-10-24,S001,ready_to_eat,C6648,discount,0.101,1
2024-10-26,S001,ready_to_eat,C3704,discount,0.177,1
2024-10-30,S001,ready_to_eat,C4159,free_delivery,0.256,0
2024-11-07,S001,ready_to_eat,C1555,bundle,0.172,1
2024-11-10,S001,ready_to_eat,C2345,coupon,0.165,0
2024-11-16,S001,ready_to_eat,C1041,bundle,0.155,0
2024-11-21,S001,ready_to_eat,C8030,free_delivery,0.261,0
2024-12-01,S001,ready_to_eat,C7875,bundle,0.067,0
2024-12-06,S001,ready_to_eat,C8761,discount,0.213,1
2024-12-07,S001,ready_to_eat,C7800,discount,0.078,1
2024-12-14,S001,ready_to_eat,C2508,discount,0.273,1
2024-12-29,S001,ready_to_eat,C5540,bundle,0.051,0
2025-01-01,S001,ready_to_eat,C6885,discount,0.128,0
2025-01-03,S001,ready_to_eat,C8674,bundle,0.14,1
2025-01-17,S001,ready_to_eat,C2651,discount,0.267,0
2024-01-16,S001,personal_care,C7585,discount,0.12,1
2024-01-22,S001,personal_care,C7777,discount,0.138,1
2024-03-12,S001,personal_care,C5513,discount,0.261,1
2024-03-15,S001,personal_care,C4659,free_delivery,0.126,1
2024-04-04,S001,personal_care,C5049,discount,0.263,0
2024-04-13,S001,personal_care,C9974,discount,0.083,1
2024-04-28,S001,personal_care,C6362,discount,0.242,1
2024-05-01,S001,personal_care,C8001,discount,0.194,0
2024-05-07,S001,personal_care,C8198,discount,0.123,0
2024-05-11,S001,personal_care,C5589,free_delivery,0.098,1
2024-05-12,S001,personal_care,C3689,discount,0.24,1
2024-05-25,S001,personal_care,C1868,discount,0.284,1
2024-05-26,S001,personal_care,C1497,free_delivery,0.184,1
2024-05-31,S001,personal_care,C3701,coupon,0.206,0
2024-06-10,S001,personal_care,C3978,discount,0.27,0
2024-06-16,S001,personal_care,C6930,discount,0.204,1
2024-06-24,S001,personal_care,C1393,discount,0.217,1
2024-07-27,S001,personal_care,C5398,discount,0.19,1
2024-07-31,S001,personal_care,C2222,coupon,0.257,0
2024-08-07,S001,personal_care,C4721,coupon,0.249,1
2024-08-09,S001,personal_care,C8681,bundle,0.137,1
2024-08-12,S001,personal_care,C2877,discount,0.236,0
2024-10-01,S001,personal_care,C6415,discount,0.066,0
2024-10-03,S001,personal_care,C7622,discount,0.194,0
2024-10-13,S001,personal_care,C6772,free_delivery,0.251,1
2024-10-17,S001,personal_care,C8232,free_delivery,0.218,1
2024-10-22,S001,personal_care,C6764,bundle,0.181,0
2024-10-29,S001,personal_care,C1615,free_delivery,0.213,0
2024-11-14,S001,personal_care,C6311,coupon,0.358,1
2024-11-19,S001,personal_care,C6916,discount,0.08,1
2024-11-21,S001,personal_care,C7050,discount,0.248,0
2024-11-29,S001,personal_care,C9720,bundle,0.05,0
2024-12-02,S001,personal_care,C3674,bundle,0.108,0
2024-12-07,S001,personal_care,C6530,bundle,0.098,1
2025-01-19,S001,personal_care,C1997,discount,0.163,0
2025-01-26,S001,personal_care,C2594,coupon,0.05,1
2024-01-05,S002,beverages,C1475,discount,0.364,0
2024-01-06,S002,beverages,C8834,bundle,0.13,0
2024-01-14,S002,beverages,C2064,discount,0.105,1
2024-01-23,S002,beverages,C6771,free_delivery,0.088,0
2024-02-14,S002,beverages,C5791,free_delivery,0.212,0
2024-03-11,S002,beverages,C3586,bundle,0.283,0
2024-03-21,S002,beverages,C7912,discount,0.269,1
2024-03-23,S002,beverages,C4524,coupon,0.138,1
2024-03-24,S002,beverages,C5159,coupon,0.271,1
2024-04-07,S002,beverages,C3773,coupon,0.252,0
2024-04-09,S002,beverages,C9706,discount,0.157,0
2024-04-16,S002,beverages,C3081,coupon,0.212,0
2024-04-18,S002,beverages,C4483,discount,0.178,1
2024-05-03,S002,beverages,C7851,discount,0.097,0
2024-05-04,S002,beverages,C8353,discount,0.226,0
2024-06-05,S002,beverages,C9189,free_delivery,0.14,0
2024-06-09,S002,beverages,C2556,discount,0.139,0
2024-07-06,S002,beverages,C8860,bundle,0.088,1
2024-07-31,S002,beverages,C3319,discount,0.124,1
2024-08-10,S002,beverages,C4880,free_delivery,0.169,0
2024-08-11,S002,beverages,C1202,discount,0.187,1
2024-08-20,S002,beverages,C6019,bundle,0.287,0
2024-10-01,S002,beverages,C8128,bundle,0.121,0
2024-10-03,S002,beverages,C3731,coupon,0.178,1
2024-10-04,S002,beverages,C4461,discount,0.182,1
2024-10-22,S002,beverages,C2377,discount,0.179,0
2024-10-24,S002,beverages,C1518,coupon,0.264,0
2024-10-28,S002,beverages,C1758,discount,0.223,1
2024-10-31,S002,beverages,C5328,free_delivery,0.215,0
2024-11-11,S002,beverages,C3174,free_delivery,0.198,0
2024-12-16,S002,beverages,C9422,bundle,0.119,0
2024-12-23,S002,beverages,C4635,discount,0.113,0
2025-01-04,S002,beverages,C1722,bundle,0.109,1
2025-01-11,S002,beverages,C5385,bundle,0.206,0
2025-01-23,S002,beverages,C8457,free_delivery,0.237,1
2025-01-26,S002,beverages,C7817,discount,0.13,1
2024-01-03,S002,snacks,C4262,discount,0.278,0
2024-01-06,S002,snacks,C4847,discount,0.205,1
2024-01-16,S002,snacks,C4147,discount,0.272,1
2024-01-21,S002,snacks,C1509,discount,0.313,1
2024-01-24,S002,snacks,C8249,discount,0.138,0
2024-01-27,S002,snacks,C5119,coupon,0.277,0
2024-02-11,S002,snacks,C7284,coupon,0.205,1
2024-02-13,S002,snacks,C7701,discount,0.089,0
2024-02-21,S002,snacks,C2084,free_delivery,0.225,0
2024-02-29,S002,snacks,C6047,discount,0.159,0
2024-03-02,S002,snacks,C3582,bundle,0.292,0
2024-03-15,S002,snacks,C6542,discount,0.107,1
2024-03-26,S002,snacks,C3819,free_delivery,0.336,1
2024-03-29,S002,snacks,C8975,free_delivery,0.211,1
2024-03-31,S002,snacks,C4119,discount,0.197,0
2024-04-11,S002,snacks,C5091,discount,0.101,1
2024-04-18,S002,snacks,C9737,coupon,0.131,0
2024-04-20,S002,snacks,C1437,coupon,0.142,0
2024-04-28,S002,snacks,C7077,free_delivery,0.295,0
2024-05-05,S002,snacks,C3521,discount,0.202,1
2024-05-17,S002,snacks,C5314,discount,0.251,1
2024-05-21,S002,snacks,C2123,bundle,0.151,0
2024-05-26,S002,snacks,C8447,coupon,0.058,0
2024-06-01,S002,snacks,C2527,coupon,0.058,1
2024-06-17,S002,snacks,C5649,discount,0.154,0
2024-06-20,S002,snacks,C2274,coupon,0.167,0
2024-06-28,S002,snacks,C9855,bundle,0.169,0
2024-07-05,S002,snacks,C7890,free_delivery,0.05,0
2024-07-09,S002,snacks,C6754,free_delivery,0.245,0
2024-07-15,S002,snacks,C6649,discount,0.107,1
2024-07-26,S002,snacks,C7557,discount,0.133,0
2024-08-04,S002,snacks,C6245,coupon,0.184,1
2024-08-05,S002,snacks,C4890,discount,0.133,0
2024-08-09,S002,snacks,C1196,bundle,0.163,1
2024-08-17,S002,snacks,C1711,free_delivery,0.068,1
2024-08-23,S002,snacks,C3422,discount,0.149,0
2024-09-22,S002,snacks,C4063,discount,0.199,0
2024-09-23,S002,snacks,C3943,discount,0.078,0
2024-10-05,S002,snacks,C8296,bundle,0.094,1
2024-10-22,S002,snacks,C1411,discount,0.055,1
2024-10-23,S002,snacks,C8869,discount,0.294,1
2024-10-28,S002,snacks,C9940,coupon,0.171,0
2024-10-29,S002,snacks,C1126,coupon,0.23,0
2024-11-01,S002,snacks,C2952,coupon,0.131,1
2024-11-14,S002,snacks,C7899,discount,0.17,0
2024-11-22,S002,snacks,C7533,discount,0.145,1
2024-12-01,S002,snacks,C6652,bundle,0.16,1
2024-12-09,S002,snacks,C5779,free_delivery,0.05,0
2025-01-06,S002,snacks,C1537,discount,0.176,1
2025-01-09,S002,snacks,C4804,coupon,0.11,1
2025-01-15,S002,snacks,C3256,discount,0.113,1
2025-01-20,S002,snacks,C7896,discount,0.237,0
2024-01-06,S002,fresh,C1390,discount,0.122,0
2024-01-09,S002,fresh,C7091,coupon,0.189,0
2024-01-12,S002,fresh,C2755,coupon,0.189,0
2024-01-15,S002,fresh,C1874,coupon,0.183,0
2024-01-31,S002,fresh,C4493,discount,0.115,0
2024-02-01,S002,fresh,C1587,discount,0.289,0
2024-02-21,S002,fresh,C5643,discount,0.137,0
2024-03-01,S002,fresh,C5880,bundle,0.148,1
2024-03-14,S002,fresh,C1654,discount,0.132,0
2024-03-16,S002,fresh,C1999,discount,0.236,0
2024-03-25,S002,fresh,C9424,bundle,0.068,0
2024-03-31,S002,fresh,C3003,coupon,0.117,0
2024-04-06,S002,fresh,C6491,discount,0.169,1
2024-04-15,S002,fresh,C9118,coupon,0.317,0
2024-04-28,S002,fresh,C5865,coupon,0.25,0
2024-05-12,S002,fresh,C9789,bundle,0.23,0
2024-06-16,S002,fresh,C7454,free_delivery,0.211,0
2024-06-29,S002,fresh,C4124,free_delivery,0.207,1
2024-07-07,S002,fresh,C7242,coupon,0.262,0
2024-07-25,S002,fresh,C4047,coupon,0.157,0
2024-08-26,S002,fresh,C7179,coupon,0.099,1
2024-09-02,S002,fresh,C4848,coupon,0.144,0
2024-09-16,S002,fresh,C5488,coupon,0.143,0
2024-09-17,S002,fresh,C8155,discount,0.184,0
2024-09-20,S002,fresh,C3001,discount,0.065,0
2024-09-24,S002,fresh,C5046,free_delivery,0.127,1
2024-10-01,S002,fresh,C9019,bundle,0.05,0
2024-10-05,S002,fresh,C3247,coupon,0.214,0
2024-10-08,S002,fresh,C8541,discount,0.215,0
2024-10-16,S002,fresh,C9038,bundle,0.088,1
2024-10-27,S002,fresh,C9680,coupon,0.139,1
2024-11-10,S002,fresh,C4336,coupon,0.236,0
2024-11-23,S002,fresh,C3207,coupon,0.305,0
2024-12-20,S002,fresh,C9211,discount,0.281,1
2024-12-21,S002,fresh,C9798,bundle,0.245,0
2024-01-07,S002,household,C3866,coupon,0.095,0
2024-01-19,S002,household,C3547,discount,0.175,0
2024-02-08,S002,household,C6090,discount,0.157,1
2024-02-20,S002,household,C8425,discount,0.245,1
2024-02-22,S002,household,C9471,discount,0.31,1
2024-04-01,S002,household,C9877,discount,0.14,1
2024-04-06,S002,household,C6939,bundle,0.149,0
2024-05-08,S002,household,C2747,discount,0.186,1
2024-06-01,S002,household,C8370,free_delivery,0.207,1
2024-07-14,S002,household,C1695,free_delivery,0.273,0
2024-07-31,S002,household,C6299,free_delivery,0.278,0
2024-08-08,S002,household,C7023,free_delivery,0.196,0
2024-08-12,S002,household,C3257,coupon,0.276,1
2024-08-23,S002,household,C7515,coupon,0.163,1
2024-08-24,S002,household,C5885,discount,0.065,0
2024-08-28,S002,household,C6269,discount,0.301,0
2024-09-03,S002,household,C6010,coupon,0.18,0
2024-09-11,S002,household,C6753,coupon,0.129,0
2024-09-21,S002,household,C5938,discount,0.067,1
2024-10-02,S002,household,C4006,discount,0.209,0
2024-10-21,S002,household,C6470,bundle,0.262,0
2024-10-23,S002,household,C1129,discount,0.207,0
2024-10-27,S002,household,C8215,discount,0.13,0
2024-10-31,S002,household,C4112,discount,0.154,0
2024-11-08,S002,household,C6574,free_delivery,0.199,0
2024-11-17,S002,household,C2194,bundle,0.117,1
2024-12-12,S002,household,C8733,bundle,0.232,1
2024-12-14,S002,household,C3421,discount,0.134,0
2024-12-19,S002,household,C7367,free_delivery,0.268,0
2024-12-21,S002,household,C9106,discount,0.251,0
2024-12-22,S002,household,C7074,free_delivery,0.142,1
2024-12-23,S002,household,C3170,coupon,0.276,0
2024-12-24,S002,household,C6280,free_delivery,0.255,0
2025-01-01,S002,household,C1664,discount,0.218,0
2025-01-08,S002,household,C7451,discount,0.127,0
2025-01-12,S002,household,C5040,coupon,0.203,1
2024-01-01,S002,ready_to_eat,C7989,bundle,0.172,0
2024-01-07,S002,ready_to_eat,C6359,discount,0.271,1
2024-01-17,S002,ready_to_eat,C9358,bundle,0.094,1
2024-01-22,S002,ready_to_eat,C4699,discount,0.168,0
2024-01-25,S002,ready_to_eat,C5310,coupon,0.143,0
2024-01-30,S002,ready_to_eat,C9825,discount,0.229,0
2024-02-02,S002,ready_to_eat,C4845,free_delivery,0.367,1
2024-02-10,S002,ready_to_eat,C3576,discount,0.121,0
2024-02-13,S002,ready_to_eat,C5417,coupon,0.142,1
2024-02-20,S002,ready_to_eat,C3910,discount,0.164,0
2024-02-21,S002,ready_to_eat,C8343,bundle,0.089,0
2024-03-01,S002,ready_to_eat,C8808,discount,0.178,0
2024-03-11,S002,ready_to_eat,C9599,discount,0.079,0
2024-03-30,S002,ready_to_eat,C1651,discount,0.14,0
2024-04-05,S002,ready_to_eat,C6543,free_delivery,0.172,1
2024-04-07,S002,ready_to_eat,C7143,discount,0.235,0
2024-04-08,S002,ready_to_eat,C3359,coupon,0.121,0
2024-04-20,S002,ready_to_eat,C7751,free_delivery,0.132,1
2024-04-29,S002,ready_to_eat,C1915,coupon,0.241,0
2024-05-12,S002,ready_to_eat,C7832,discount,0.327,1
2024-05-15,S002,ready_to_eat,C3724,free_delivery,0.084,1
2024-06-11,S002,ready_to_eat,C6041,discount,0.094,1
2024-06-14,S002,ready_to_eat,C1364,discount,0.05,1
2024-06-22,S002,ready_to_eat,C2321,discount,0.18,0
2024-06-24,S002,ready_to_eat,C6823,free_delivery,0.227,1
2024-06-25,S002,ready_to_eat,C5753,free_delivery,0.058,0
2024-07-08,S002,ready_to_eat,C4636,discount,0.097,0
2024-07-13,S002,ready_to_eat,C8580,coupon,0.241,0
2024-07-17,S002,ready_to_eat,C2692,free_delivery,0.16,1
2024-07-30,S002,ready_to_eat,C1124,discount,0.268,1
2024-08-13,S002,ready_to_eat,C2793,discount,0.05,0
2024-08-17,S002,ready_to_eat,C6152,discount,0.258,0
2024-08-25,S002,ready_to_eat,C4665,discount,0.195,0
2024-08-30,S002,ready_to_eat,C9592,bundle,0.288,0
2024-09-13,S002,ready_to_eat,C9900,bundle,0.181,1
2024-09-14,S002,ready_to_eat,C5506,coupon,0.192,0
2024-10-02,S002,ready_to_eat,C7361,bundle,0.09,1
2024-10-07,S002,ready_to_eat,C5183,discount,0.199,1
2024-10-13,S002,ready_to_eat,C3383,discount,0.2,0
2024-10-14,S002,ready_to_eat,C5656,bundle,0.257,0
2024-10-16,S002,ready_to_eat,C8406,free_delivery,0.165,0
2024-10-22,S002,ready_to_eat,C5028,discount,0.18,1
2024-10-25,S002,ready_to_eat,C6921,free_delivery,0.211,1
2024-10-31,S002,ready_to_eat,C4255,discount,0.219,1
2024-11-22,S002,ready_to_eat,C5505,free_delivery,0.171,0
2024-12-03,S002,ready_to_eat,C1650,coupon,0.15,0
2024-12-13,S002,ready_to_eat,C3328,coupon,0.153,0
2024-12-17,S002,ready_to_eat,C9314,discount,0.176,0
2024-12-28,S002,ready_to_eat,C5435,discount,0.18,0
2025-01-07,S002,ready_to_eat,C1144,free_delivery,0.063,0
2025-01-08,S002,ready_to_eat,C4146,coupon,0.123,1
2025-01-16,S002,ready_to_eat,C3171,discount,0.05,0
2024-01-20,S002,personal_care,C3486,bundle,0.117,0
2024-02-04,S002,personal_care,C1258,discount,0.199,0
2024-02-16,S002,personal_care,C2133,discount,0.187,0
2024-03-12,S002,personal_care,C5508,coupon,0.23,1
2024-04-09,S002,personal_care,C5941,coupon,0.17,1
2024-04-11,S002,personal_care,C1546,coupon,0.2,0
2024-05-04,S002,personal_care,C1335,discount,0.209,1
2024-05-05,S002,personal_care,C2661,discount,0.216,0
2024-05-11,S002,personal_care,C7792,coupon,0.118,0
2024-05-15,S002,personal_care,C9505,coupon,0.172,0
2024-05-17,S002,personal_care,C1748,bundle,0.057,1
2024-06-09,S002,personal_care,C2828,discount,0.144,1
2024-06-21,S002,personal_care,C8697,coupon,0.159,0
2024-06-22,S002,personal_care,C3927,discount,0.155,1
2024-07-14,S002,personal_care,C1207,bundle,0.217,1
2024-08-27,S002,personal_care,C9426,coupon,0.05,0
2024-09-21,S002,personal_care,C1907,coupon,0.205,0
2024-10-02,S002,personal_care,C9269,discount,0.221,0
2024-10-17,S002,personal_care,C6242,free_delivery,0.341,1
2024-10-30,S002,personal_care,C4236,free_delivery,0.175,1
2024-11-03,S002,personal_care,C6503,bundle,0.05,0
2024-11-20,S002,personal_care,C5726,discount,0.116,0
2024-12-03,S002,personal_care,C6930,coupon,0.2,1
2024-12-28,S002,personal_care,C1500,bundle,0.168,1
2024-12-30,S002,personal_care,C6625,bundle,0.14,0
2025-01-01,S002,personal_care,C3328,coupon,0.167,0
2025-01-02,S002,personal_care,C8853,coupon,0.111,0
2025-01-06,S002,personal_care,C9419,discount,0.241,0
2025-01-08,S002,personal_care,C7029,coupon,0.187,0
2025-01-12,S002,personal_care,C3356,discount,0.246,1
2025-01-14,S002,personal_care,C8076,bundle,0.197,0
2025-01-18,S002,personal_care,C1861,free_delivery,0.173,1
2024-01-04,S003,beverages,C5783,discount,0.199,0
2024-01-14,S003,beverages,C3436,coupon,0.236,0
2024-01-18,S003,beverages,C4060,free_delivery,0.114,1
2024-02-13,S003,beverages,C2664,bundle,0.162,0
2024-02-14,S003,beverages,C5840,free_delivery,0.162,1
2024-02-21,S003,beverages,C4855,coupon,0.127,0
2024-02-29,S003,beverages,C6237,free_delivery,0.178,1
2024-03-03,S003,beverages,C2529,free_delivery,0.169,1
2024-03-08,S003,beverages,C2724,discount,0.243,0
2024-03-10,S003,beverages,C7950,coupon,0.206,1
2024-03-12,S003,beverages,C7888,discount,0.148,1
2024-03-13,S003,beverages,C1111,discount,0.277,0
2024-03-15,S003,beverages,C9211,coupon,0.141,1
2024-03-23,S003,beverages,C6306,coupon,0.131,1
2024-03-26,S003,beverages,C1358,coupon,0.209,0
